"V1" "V2" "V3" "V4" "V5"
"133" 0.702 0.896 0.8 0.9 0.782
"134" 0.416 0.436 0.574 0.468 0.39
"135" 0.476 0.426 0.514 0.412 0.494
"136" 0.78 0.61 0.63 0.712 0.624
"137" 0.112 0.114 0.094 0.024 0.18
"138" 0.054 0.11 0.074 0.066 0.09
"139" 0.06 0.048 0.038 0.044 0.062
"140" 0.102 0.124 0.136 0.15 0.138
"141" 0.082 0.116 0.056 0.058 0.11
"142" 0.088 0.118 0.066 0.052 0.104
"143" 0.208 0.196 0.194 0.268 0.164
"144" 0.376 0.536 0.33 0.434 0.37
"145" 0.224 0.246 0.164 0.236 0.234
"146" 0.176 0.152 0.152 0.216 0.188
"147" 0.532 0.642 0.546 0.576 0.53
"148" 0.388 0.314 0.23 0.302 0.294
"149" 0.358 0.168 0.214 0.184 0.126
"150" 0.302 0.244 0.224 0.254 0.076
"151" 0.342 0.21 0.222 0.19 0.328
"152" 0.448 0.438 0.354 0.478 0.514
"153" 0.462 0.592 0.576 0.51 0.512
"154" 0.2 0.176 0.212 0.202 0.228
"155" 0.194 0.236 0.25 0.158 0.202
"156" 0.11 0.06 0.044 0.136 0.118
"157" 0.358 0.38 0.336 0.386 0.208
"158" 0.854 0.92 0.86 0.886 0.904
"159" 0.586 0.65 0.584 0.736 0.636
"160" 0.348 0.23 0.25 0.33 0.2
"161" 0.782 0.764 0.768 0.868 0.84
"162" 0.474 0.484 0.44 0.48 0.274
"163" 0.658 0.456 0.488 0.516 0.456
"164" 0.09 0.094 0.072 0.056 0.076
"165" 0.024 0.034 0.012 0.026 0.044
"166" 0.056 0.038 0.034 0.046 0.05
"167" 0.82 0.784 0.852 0.832 0.78
"168" 0.048 0.06 0.076 0.05 0.058
"169" 0.168 0.274 0.178 0.16 0.206
"170" 0.05 0.134 0.138 0.098 0.166
"171" 0.388 0.386 0.432 0.402 0.572
"172" 0.864 0.844 0.806 0.844 0.778
"173" 0.018 0.042 0.088 0.042 0.034
"174" 0.154 0.078 0.084 0.148 0.072
"175" 0.112 0.13 0.1 0.156 0.044
"176" 0.338 0.344 0.262 0.308 0.332
"177" 0.374 0.444 0.506 0.406 0.358
"178" 0.332 0.37 0.304 0.274 0.316
"179" 0.044 0.066 0.052 0.126 0.076
"180" 0.332 0.386 0.35 0.444 0.424
"181" 0.7 0.768 0.614 0.66 0.712
"182" 0.212 0.254 0.268 0.256 0.252
"183" 0.486 0.538 0.526 0.508 0.55
"184" 0.198 0.176 0.292 0.25 0.2
"185" 0.184 0.1 0.266 0.348 0.316
"186" 0.046 0.066 0.062 0.066 0.018
"187" 0.494 0.126 0.258 0.402 0.322
"188" 0.18 0.166 0.194 0.198 0.132
"189" 0.032 0.036 0.036 0.03 0.04
"190" 0.788 0.684 0.786 0.742 0.806
"191" 0.716 0.524 0.426 0.512 0.454
"192" 0.67 0.426 0.498 0.654 0.466
"193" 0.04 0.136 0.044 0.052 0.082
"194" 0.058 0.158 0.248 0.144 0.136
"195" 0.142 0.168 0.2 0.226 0.23
"196" 0.568 0.476 0.324 0.508 0.62
"197" 0.102 0.084 0.088 0.092 0.084
"198" 0.76 0.746 0.788 0.776 0.714
"199" 0.524 0.442 0.56 0.636 0.452
"200" 0.156 0.222 0.18 0.216 0.18
"201" 0.192 0.272 0.232 0.284 0.214
"202" 0.232 0.186 0.216 0.16 0.15
"203" 0.554 0.528 0.474 0.558 0.57
"204" 0.094 0.082 0.108 0.052 0.032
"205" 0.062 0.08 0.086 0.054 0.066
"206" 0.574 0.61 0.69 0.562 0.514
"207" 0.272 0.186 0.238 0.266 0.274
"208" 0.666 0.616 0.648 0.674 0.73
"209" 0.12 0.162 0.108 0.036 0.18
"210" 0.07 0.078 0.056 0.09 0.108
"211" 0.09 0.052 0.028 0.038 0.056
"212" 0.03 0.034 0.026 0.028 0.042
"213" 0.87 0.704 0.634 0.74 0.712
"214" 0.28 0.322 0.216 0.3 0.26
"215" 0.326 0.256 0.322 0.348 0.214
"216" 0.14 0.132 0.142 0.116 0.176
"217" 0.044 0.114 0.086 0.088 0.07
"218" 0.124 0.21 0.178 0.126 0.23
"219" 0.024 0.026 0.026 0.022 0.02
"220" 0.518 0.332 0.41 0.43 0.412
"221" 0.026 0.046 0.03 0.052 0.042
"222" 0.53 0.506 0.418 0.536 0.292
"223" 0.136 0.082 0.18 0.118 0.17
"224" 0.048 0.034 0.03 0.024 0.066
"225" 0.846 0.816 0.902 0.854 0.918
"226" 0.1 0.086 0.174 0.144 0.102
"227" 0.4 0.408 0.348 0.41 0.41
"228" 0.148 0.146 0.166 0.21 0.25
"229" 0.112 0.168 0.046 0.116 0.096
"230" 0.13 0.1 0.25 0.088 0.136
"231" 0.054 0.044 0.098 0.054 0.046
"232" 0.034 0.03 0.122 0.106 0.016
"233" 0.094 0.046 0.082 0.128 0.122
"234" 0.1 0.078 0.102 0.148 0.056
"235" 0.144 0.122 0.11 0.15 0.064
"236" 0.092 0.078 0.062 0.106 0.07
"237" 0.402 0.376 0.27 0.404 0.176
"238" 0.826 0.908 0.904 0.912 0.82
"239" 0.294 0.452 0.342 0.494 0.358
