"V1" "V2" "V3" "V4" "V5"
"133" 0.412 0.41 0.426 0.404 0.396
"134" 0.286 0.208 0.224 0.306 0.292
"135" 0.25 0.206 0.2 0.234 0.212
"136" 0.408 0.48 0.376 0.4 0.392
"137" 0.472 0.414 0.458 0.48 0.506
"138" 0.31 0.284 0.314 0.356 0.39
"139" 0.206 0.212 0.198 0.184 0.16
"140" 0.39 0.3 0.578 0.514 0.592
"141" 0.22 0.202 0.202 0.168 0.212
"142" 0.37 0.312 0.35 0.284 0.34
"143" 0.16 0.204 0.142 0.192 0.116
"144" 0.242 0.478 0.478 0.37 0.55
"145" 0.22 0.282 0.392 0.32 0.316
"146" 0.178 0.344 0.344 0.342 0.288
"147" 0.13 0.184 0.166 0.226 0.138
"148" 0.106 0.186 0.136 0.154 0.192
"149" 0.116 0.094 0.07 0.046 0.092
"150" 0.146 0.228 0.2 0.172 0.188
"151" 0.15 0.234 0.162 0.292 0.314
"152" 0.278 0.222 0.246 0.296 0.232
"153" 0.262 0.334 0.31 0.302 0.36
"154" 0.25 0.434 0.428 0.462 0.456
"155" 0.316 0.298 0.42 0.324 0.31
"156" 0.114 0.202 0.17 0.184 0.064
"157" 0.322 0.248 0.244 0.324 0.174
"158" 0.096 0.26 0.262 0.29 0.196
"159" 0.08 0.128 0.19 0.128 0.112
"160" 0.16 0.266 0.352 0.344 0.186
"161" 0.188 0.242 0.294 0.292 0.218
"162" 0.226 0.366 0.468 0.384 0.34
"163" 0.458 0.518 0.476 0.528 0.562
"164" 0.546 0.498 0.506 0.346 0.358
"165" 0.36 0.366 0.338 0.36 0.364
"166" 0.404 0.442 0.42 0.456 0.48
"167" 0.192 0.176 0.15 0.134 0.158
"168" 0.26 0.176 0.248 0.146 0.208
"169" 0.086 0.188 0.138 0.086 0.152
"170" 0.118 0.086 0.17 0.148 0.102
"171" 0.192 0.276 0.216 0.242 0.258
"172" 0.198 0.246 0.23 0.186 0.158
"173" 0.24 0.264 0.252 0.218 0.226
"174" 0.218 0.204 0.288 0.59 0.158
"175" 0.234 0.23 0.244 0.22 0.262
"176" 0.544 0.534 0.492 0.408 0.516
"177" 0.428 0.338 0.358 0.402 0.564
"178" 0.394 0.346 0.428 0.236 0.574
"179" 0.146 0.42 0.258 0.136 0.332
"180" 0.234 0.226 0.296 0.18 0.24
"181" 0.256 0.248 0.146 0.32 0.258
"182" 0.098 0.194 0.202 0.194 0.178
"183" 0.33 0.372 0.404 0.26 0.386
"184" 0.126 0.176 0.212 0.192 0.176
"185" 0.306 0.292 0.362 0.498 0.356
"186" 0.276 0.24 0.322 0.428 0.208
"187" 0.414 0.204 0.214 0.208 0.294
"188" 0.216 0.194 0.288 0.334 0.242
"189" 0.282 0.176 0.188 0.206 0.218
"190" 0.128 0.132 0.108 0.138 0.092
"191" 0.198 0.136 0.114 0.14 0.172
"192" 0.202 0.208 0.17 0.352 0.226
"193" 0.264 0.26 0.314 0.31 0.394
"194" 0.498 0.504 0.45 0.466 0.42
"195" 0.432 0.456 0.28 0.484 0.358
"196" 0.376 0.384 0.286 0.392 0.346
"197" 0.184 0.194 0.138 0.204 0.23
"198" 0.398 0.394 0.334 0.348 0.304
"199" 0.424 0.19 0.542 0.342 0.472
"200" 0.37 0.11 0.416 0.316 0.388
"201" 0.318 0.124 0.312 0.33 0.208
"202" 0.464 0.31 0.18 0.206 0.192
"203" 0.752 0.56 0.51 0.59 0.504
"204" 0.43 0.342 0.136 0.18 0.152
"205" 0.528 0.352 0.274 0.264 0.186
"206" 0.342 0.274 0.478 0.544 0.352
"207" 0.214 0.24 0.158 0.196 0.214
"208" 0.108 0.272 0.05 0.042 0.12
"209" 0.366 0.406 0.392 0.39 0.422
"210" 0.348 0.422 0.362 0.36 0.334
"211" 0.236 0.378 0.338 0.388 0.338
"212" 0.216 0.318 0.268 0.268 0.318
"213" 0.394 0.432 0.45 0.474 0.53
"214" 0.352 0.352 0.338 0.354 0.392
"215" 0.5 0.432 0.464 0.472 0.37
"216" 0.316 0.252 0.268 0.226 0.332
"217" 0.362 0.436 0.338 0.346 0.262
"218" 0.068 0.046 0.136 0.06 0.17
"219" 0.182 0.074 0.33 0.166 0.076
"220" 0.452 0.238 0.418 0.454 0.16
"221" 0.344 0.178 0.458 0.434 0.232
"222" 0.042 0.032 0.032 0.022 0.012
"223" 0.234 0.404 0.216 0.286 0.176
"224" 0.042 0.122 0.038 0.046 0.036
"225" 0.576 0.414 0.39 0.458 0.512
"226" 0.524 0.474 0.486 0.538 0.498
"227" 0.524 0.408 0.378 0.464 0.402
"228" 0.582 0.332 0.212 0.624 0.26
"229" 0.22 0.326 0.342 0.372 0.248
"230" 0.432 0.254 0.25 0.38 0.6
"231" 0.686 0.602 0.352 0.568 0.608
"232" 0.31 0.488 0.5 0.724 0.362
"233" 0.152 0.166 0.204 0.142 0.232
"234" 0.132 0.134 0.094 0.128 0.078
"235" 0.298 0.292 0.302 0.282 0.358
"236" 0.24 0.32 0.252 0.168 0.404
"237" 0.312 0.292 0.226 0.228 0.398
"238" 0.146 0.13 0.296 0.2 0.228
"239" 0.058 0.124 0.1 0.212 0.192
"240" 0.168 0.182 0.278 0.414 0.346
"241" 0.078 0.198 0.17 0.19 0.376
"242" 0.138 0.174 0.222 0.358 0.408
"243" 0.096 0.298 0.224 0.282 0.358
"244" 0.216 0.402 0.544 0.596 0.488
"245" 0.504 0.732 0.642 0.616 0.622
"246" 0.438 0.372 0.292 0.364 0.396
"247" 0.496 0.294 0.28 0.36 0.24
"248" 0.488 0.428 0.354 0.446 0.386
"249" 0.42 0.334 0.352 0.344 0.47
"250" 0.398 0.286 0.25 0.306 0.328
"251" 0.556 0.3 0.586 0.448 0.582
"252" 0.294 0.128 0.176 0.308 0.362
"253" 0.248 0.196 0.366 0.23 0.35
"254" 0.5 0.206 0.408 0.228 0.334
"255" 0.092 0.074 0.3 0.116 0.252
