"V1" "V2" "V3" "V4" "V5"
"133" 0.674 0.818 0.606 0.76 0.67
"134" 0.406 0.496 0.534 0.398 0.452
"135" 0.358 0.406 0.446 0.342 0.486
"136" 0.676 0.68 0.728 0.64 0.638
"137" 0.02 0.044 0.01 0.04 0.036
"138" 0.138 0.156 0.194 0.156 0.18
"139" 0.096 0.098 0.178 0.116 0.124
"140" 0.154 0.16 0.178 0.158 0.078
"141" 0.128 0.172 0.112 0.108 0.106
"142" 0.102 0.152 0.108 0.14 0.098
"143" 0.218 0.234 0.156 0.232 0.208
"144" 0.238 0.328 0.21 0.2 0.268
"145" 0.238 0.286 0.198 0.214 0.26
"146" 0.22 0.24 0.184 0.274 0.26
"147" 0.322 0.448 0.308 0.296 0.354
"148" 0.334 0.344 0.3 0.258 0.31
"149" 0.192 0.184 0.206 0.23 0.166
"150" 0.244 0.23 0.256 0.26 0.234
"151" 0.382 0.32 0.292 0.266 0.346
"152" 0.29 0.268 0.23 0.26 0.29
"153" 0.476 0.422 0.49 0.61 0.68
"154" 0.408 0.462 0.432 0.464 0.43
"155" 0.132 0.154 0.238 0.152 0.198
"156" 0.116 0.144 0.132 0.124 0.174
"157" 0.296 0.23 0.286 0.3 0.224
"158" 0.758 0.76 0.86 0.786 0.852
"159" 0.454 0.484 0.526 0.506 0.416
"160" 0.292 0.226 0.262 0.278 0.202
"161" 0.74 0.734 0.838 0.744 0.808
"162" 0.396 0.37 0.342 0.42 0.384
"163" 0.63 0.72 0.62 0.476 0.598
"164" 0.358 0.278 0.488 0.194 0.228
"165" 0.158 0.188 0.23 0.194 0.184
"166" 0.162 0.136 0.112 0.186 0.148
"167" 0.87 0.892 0.8 0.828 0.844
"168" 0.176 0.282 0.15 0.224 0.246
"169" 0.296 0.392 0.322 0.288 0.324
"170" 0.292 0.352 0.244 0.412 0.4
"171" 0.346 0.512 0.47 0.362 0.494
"172" 0.772 0.814 0.84 0.868 0.796
"173" 0.174 0.22 0.204 0.212 0.23
"174" 0.144 0.074 0.114 0.126 0.072
"175" 0.16 0.094 0.164 0.168 0.07
"176" 0.098 0.1 0.1 0.1 0.134
"177" 0.182 0.16 0.162 0.182 0.144
"178" 0.114 0.134 0.112 0.082 0.144
"179" 0.396 0.034 0.354 0.474 0.372
"180" 0.678 0.64 0.59 0.544 0.548
"181" 0.652 0.682 0.692 0.604 0.472
"182" 0.306 0.202 0.356 0.404 0.238
"183" 0.502 0.484 0.476 0.432 0.5
"184" 0.188 0.194 0.214 0.216 0.15
"185" 0.228 0.2 0.272 0.286 0.178
"186" 0.138 0.132 0.178 0.168 0.086
"187" 0.546 0.374 0.46 0.454 0.486
"188" 0.284 0.328 0.196 0.33 0.322
"189" 0.156 0.178 0.136 0.106 0.146
"190" 0.352 0.41 0.454 0.452 0.43
"191" 0.67 0.646 0.69 0.682 0.72
"192" 0.386 0.22 0.428 0.33 0.398
"193" 0.164 0.202 0.182 0.194 0.15
"194" 0.05 0.094 0.132 0.032 0.088
"195" 0.056 0.094 0.14 0.042 0.136
"196" 0.098 0.17 0.12 0.122 0.148
"197" 0.322 0.04 0.342 0.422 0.032
"198" 0.484 0.63 0.478 0.508 0.498
"199" 0.456 0.408 0.412 0.54 0.436
"200" 0.248 0.286 0.298 0.284 0.282
"201" 0.32 0.32 0.3 0.344 0.41
"202" 0.124 0.152 0.148 0.128 0.154
"203" 0.156 0.164 0.08 0.118 0.18
"204" 0.128 0.154 0.124 0.1 0.154
"205" 0.154 0.146 0.128 0.13 0.114
"206" 0.202 0.148 0.18 0.192 0.142
"207" 0.222 0.204 0.216 0.228 0.264
"208" 0.444 0.496 0.426 0.464 0.506
"209" 0.262 0.346 0.304 0.276 0.286
"210" 0.176 0.242 0.102 0.176 0.142
"211" 0.26 0.282 0.188 0.204 0.224
"212" 0.232 0.226 0.176 0.182 0.236
"213" 0.404 0.408 0.312 0.298 0.338
"214" 0.152 0.12 0.134 0.078 0.088
"215" 0.174 0.142 0.188 0.142 0.1
"216" 0.064 0.144 0.1 0.02 0.052
"217" 0.162 0.204 0.164 0.112 0.098
"218" 0.48 0.502 0.528 0.528 0.476
"219" 0.338 0.336 0.294 0.278 0.288
"220" 0.476 0.526 0.56 0.418 0.564
"221" 0.376 0.258 0.186 0.372 0.4
"222" 0.808 0.85 0.796 0.94 0.66
"223" 0.202 0.178 0.158 0.182 0.208
