"V1" "V2" "V3" "V4" "V5"
"1" 0.774647887323944 0.722222222222222 0.71830985915493 0.726190476190476 0.810810810810811
"2" 0.208571428571429 0.241025641025641 0.317460317460317 0.333333333333333 0.0967741935483871
"3" 0.208571428571429 0.0654205607476635 0.294117647058824 0.151162790697674 0.0967741935483871
"4" 0.169312169312169 0.116071428571429 0.223958333333333 0.176470588235294 0.217391304347826
"5" 0.208571428571429 0.241025641025641 0.235294117647059 0.142857142857143 0.0967741935483871
"6" 0.306451612903226 0.241025641025641 0.377777777777778 0.186813186813187 0.305555555555556
"7" 0.180851063829787 0.241025641025641 0.127659574468085 0.186813186813187 0.179487179487179
"8" 0.19047619047619 0.0654205607476635 0.0689655172413793 0.119565217391304 0.179487179487179
"9" 0.19047619047619 0.241025641025641 0.127659574468085 0.186813186813187 0.203389830508475
"10" 0.19047619047619 0.241025641025641 0.127659574468085 0.186813186813187 0.203389830508475
"11" 0.191919191919192 0.116071428571429 0.181818181818182 0.160377358490566 0.171875
"12" 0.191919191919192 0.247422680412371 0.328125 0.160377358490566 0.171875
"13" 0.209302325581395 0.116071428571429 0.181818181818182 0.160377358490566 0.0714285714285714
"14" 0.191919191919192 0.116071428571429 0.181818181818182 0.160377358490566 0.171875
"15" 0.209302325581395 0.19811320754717 0.108108108108108 0.160377358490566 0.0714285714285714
"16" 0.547368421052632 0.568421052631579 0.686274509803922 0.562962962962963 0.66
"17" 0.402985074626866 0.294685990338164 0.212765957446809 0.383561643835616 0.34375
"18" 0.547368421052632 0.568421052631579 0.686274509803922 0.562962962962963 0.66
"19" 0.547368421052632 0.568421052631579 0.686274509803922 0.562962962962963 0.66
"20" 0.170731707317073 0.347107438016529 0.290322580645161 0.4 0.32967032967033
"21" 0.166666666666667 0.204081632653061 0.187258687258687 0.17658349328215 0.3125
"22" 0.0597014925373134 0.204081632653061 0.187258687258687 0.17658349328215 0.0707070707070707
"23" 0.3671875 0.512820512820513 0.365217391304348 0.415841584158416 0.395348837209302
"24" 0.367088607594937 0.322916666666667 0.206896551724138 0.383561643835616 0.34375
"25" 0.208571428571429 0.23859649122807 0.187258687258687 0.0930232558139535 0.34375
