"V1" "V2" "V3" "V4" "V5"
"133" 0.114 0.196 0.094 0.078 0.064
"134" 0.062 0.082 0.062 0.048 0.05
"135" 0.42 0.196 0.08 0.216 0.116
"136" 0.63 0.724 0.646 0.45 0.6
"137" 0.218 0.334 0.496 0.284 0.362
"138" 0.388 0.31 0.146 0.332 0.46
"139" 0.078 0.11 0.082 0.098 0.064
"140" 0.3 0.698 0.702 0.646 0.82
"141" 0.452 0.516 0.482 0.368 0.464
"142" 0.03 0.084 0.07 0.034 0.054
"143" 0.142 0.146 0.104 0.132 0.026
"144" 0.464 0.794 0.826 0.51 0.838
"145" 0.294 0.38 0.312 0.306 0.27
"146" 0.126 0.44 0.438 0.362 0.154
"147" 0.162 0.22 0.288 0.18 0.02
"148" 0.072 0.02 0.014 0.014 0.016
"149" 0.43 0.352 0.212 0.14 0.442
"150" 0.366 0.518 0.458 0.298 0.22
"151" 0.12 0.184 0.138 0.176 0.098
"152" 0.404 0.156 0.17 0.19 0.31
"153" 0.16 0.288 0.152 0.27 0.114
"154" 0.34 0.332 0.486 0.646 0.398
"155" 0.306 0.184 0.282 0.246 0.278
"156" 0.014 0.074 0.062 0.044 0.07
"157" 0.66 0.738 0.688 0.688 0.414
"158" 0.036 0.03 0.036 0.026 0.042
"159" 0.058 0.14 0.548 0.134 0.168
"160" 0.298 0.164 0.24 0.17 0.09
"161" 0.1 0.328 0.388 0.056 0.358
"162" 0.13 0.244 0.308 0.224 0.1
"163" 0.654 0.426 0.412 0.538 0.542
"164" 0.25 0.244 0.262 0.102 0.14
"165" 0.188 0.132 0.144 0.16 0.162
"166" 0.256 0.186 0.11 0.184 0.176
"167" 0.092 0.076 0.034 0.018 0.026
"168" 0.374 0.096 0.268 0.046 0.256
"169" 0.126 0.306 0.144 0.268 0.228
"170" 0.084 0.04 0.212 0.086 0.072
"171" 0.374 0.162 0.156 0.42 0.382
"172" 0.176 0.144 0.086 0.186 0.078
"173" 0.716 0.676 0.226 0.176 0.234
"174" 0.232 0.182 0.268 0.65 0.148
"175" 0.162 0.2 0.222 0.11 0.14
"176" 0.548 0.772 0.72 0.676 0.784
"177" 0.616 0.222 0.172 0.284 0.17
"178" 0.096 0.13 0.098 0.084 0.234
"179" 0.622 0.068 0.004 0.636 0.106
"180" 0.322 0.33 0.4 0.29 0.342
"181" 0.288 0.294 0.106 0.266 0.338
"182" 0.002 0.848 0.262 0.224 0.224
"183" 0.28 0.244 0.27 0.396 0.284
"184" 0.148 0.52 0.526 0.492 0.498
"185" 0.37 0.222 0.322 0.304 0.298
"186" 0.154 0.57 0.446 0.556 0.126
"187" 0.36 0.282 0.434 0.296 0.356
"188" 0.756 0.752 0.29 0.758 0.766
"189" 0.094 0.242 0.32 0.342 0.304
"190" 0.132 0.072 0.05 0.118 0.106
"191" 0.378 0.298 0.114 0.282 0.224
"192" 0.278 0.266 0.328 0.326 0.224
"193" 0.138 0.258 0.158 0.282 0.246
"194" 0.774 0.772 0.604 0.488 0.448
"195" 0.336 0.234 0.228 0.192 0.122
"196" 0.31 0.172 0.138 0.224 0.238
"197" 0.08 0.094 0.074 0.04 0.07
"198" 0.506 0.104 0.196 0.56 0.226
"199" 0.328 0.116 0.196 0.17 0.266
"200" 0.424 0.054 0.134 0.194 0.308
"201" 0.476 0.128 0.262 0.22 0.242
"202" 0.012 0.064 0.012 0.006 0.03
"203" 0.788 0.752 0.744 0.82 0.834
"204" 0.202 0.228 0.266 0.112 0.14
"205" 0.306 0.174 0.424 0.304 0.102
"206" 0.436 0.726 0.778 0.8 0.714
"207" 0.392 0.196 0.102 0.158 0.436
"208" 0.042 0.086 0.126 0.078 0.068
"209" 0.34 0.43 0.314 0.236 0.05
