"V1" "V2" "V3" "V4" "V5"
"133" 0.698 0.79 0.69 0.732 0.732
"134" 0.464 0.456 0.33 0.332 0.312
"135" 0.418 0.43 0.196 0.314 0.256
"136" 0.608 0.614 0.56 0.686 0.604
"137" 0.24 0.206 0.286 0.26 0.142
"138" 0.232 0.284 0.216 0.332 0.216
"139" 0.262 0.322 0.194 0.286 0.208
"140" 0.186 0.142 0.17 0.176 0.148
"141" 0.096 0.206 0.056 0.124 0.164
"142" 0.42 0.488 0.382 0.386 0.398
"143" 0.426 0.396 0.354 0.352 0.386
"144" 0.214 0.232 0.236 0.23 0.232
"145" 0.186 0.226 0.182 0.182 0.224
"146" 0.168 0.17 0.15 0.124 0.166
"147" 0.142 0.104 0.11 0.076 0.136
"148" 0.122 0.172 0.196 0.178 0.174
"149" 0.126 0.164 0.16 0.138 0.168
"150" 0.13 0.386 0.378 0.352 0.342
"151" 0.162 0.138 0.056 0.156 0.114
"152" 0.132 0.1 0.096 0.104 0.088
"153" 0.476 0.346 0.394 0.524 0.458
"154" 0.214 0.24 0.238 0.218 0.252
"155" 0.252 0.338 0.288 0.136 0.278
"156" 0.248 0.198 0.238 0.216 0.264
"157" 0.406 0.394 0.394 0.376 0.466
"158" 0.77 0.768 0.83 0.824 0.794
"159" 0.398 0.644 0.528 0.376 0.434
"160" 0.078 0.128 0.11 0.084 0.136
"161" 0.708 0.714 0.746 0.704 0.758
"162" 0.23 0.3 0.116 0.292 0.186
"163" 0.302 0.276 0.286 0.324 0.294
"164" 0.186 0.144 0.184 0.218 0.146
"165" 0.102 0.104 0.11 0.068 0.058
"166" 0.092 0.154 0.142 0.142 0.148
"167" 0.926 0.948 0.958 0.954 0.95
"168" 0.198 0.17 0.16 0.258 0.146
"169" 0.492 0.51 0.532 0.534 0.718
"170" 0.21 0.298 0.254 0.272 0.224
"171" 0.284 0.26 0.254 0.202 0.278
"172" 0.692 0.756 0.7 0.794 0.68
"173" 0.1 0.08 0.116 0.126 0.13
"174" 0.258 0.242 0.34 0.256 0.242
"175" 0.232 0.178 0.248 0.232 0.2
"176" 0.214 0.368 0.352 0.266 0.268
"177" 0.22 0.348 0.3 0.252 0.256
"178" 0.028 0.026 0.048 0.022 0.028
"179" 0.074 0.054 0.072 0.066 0.064
"180" 0.47 0.492 0.474 0.538 0.476
"181" 0.356 0.348 0.316 0.34 0.272
"182" 0.162 0.152 0.154 0.174 0.152
"183" 0.098 0.144 0.108 0.11 0.106
"184" 0.15 0.252 0.17 0.186 0.174
"185" 0.25 0.278 0.276 0.302 0.224
"186" 0.272 0.158 0.212 0.304 0.216
"187" 0.214 0.238 0.282 0.318 0.256
"188" 0.356 0.43 0.318 0.434 0.346
"189" 0.078 0.142 0.064 0.1 0.086
"190" 0.76 0.82 0.868 0.79 0.762
"191" 0.39 0.424 0.44 0.386 0.426
"192" 0.354 0.336 0.416 0.302 0.364
"193" 0.266 0.25 0.302 0.272 0.274
"194" 0.416 0.51 0.446 0.454 0.488
"195" 0.518 0.614 0.554 0.608 0.594
"196" 0.524 0.622 0.644 0.642 0.602
"197" 0.35 0.368 0.364 0.34 0.418
"198" 0.72 0.838 0.778 0.842 0.838
"199" 0.148 0.2 0.202 0.16 0.264
"200" 0.276 0.422 0.258 0.31 0.33
"201" 0.182 0.292 0.126 0.224 0.278
"202" 0.136 0.138 0.186 0.158 0.09
"203" 0.14 0.11 0.202 0.22 0.08
"204" 0.214 0.192 0.258 0.2 0.152
"205" 0.126 0.096 0.114 0.096 0.09
"206" 0.21 0.194 0.232 0.286 0.212
"207" 0.044 0.048 0.024 0.056 0.08
"208" 0.262 0.512 0.25 0.236 0.348
"209" 0.166 0.26 0.196 0.2 0.226
"210" 0.1 0.106 0.066 0.086 0.148
"211" 0.082 0.228 0.196 0.23 0.242
"212" 0.106 0.146 0.104 0.11 0.132
"213" 0.604 0.646 0.722 0.53 0.608
"214" 0.138 0.134 0.112 0.13 0.124
"215" 0.264 0.286 0.184 0.194 0.246
"216" 0.29 0.224 0.39 0.24 0.228
"217" 0.24 0.272 0.226 0.202 0.264
"218" 0.272 0.216 0.278 0.296 0.304
"219" 0.144 0.134 0.14 0.144 0.116
"220" 0.228 0.256 0.32 0.274 0.336
"221" 0.146 0.138 0.122 0.118 0.158
"222" 0.684 0.63 0.762 0.78 0.604
"223" 0.042 0.046 0.028 0.084 0.042
"224" 0.24 0.15 0.212 0.232 0.236
"225" 0.7 0.84 0.65 0.838 0.816
"226" 0.136 0.116 0.144 0.164 0.128
"227" 0.534 0.456 0.492 0.508 0.554
"228" 0.344 0.31 0.366 0.356 0.346
"229" 0.172 0.136 0.16 0.14 0.186
"230" 0.102 0.134 0.134 0.068 0.108
"231" 0.154 0.134 0.118 0.116 0.132
"232" 0.244 0.238 0.244 0.196 0.224
"233" 0.176 0.268 0.224 0.232 0.276
"234" 0.304 0.282 0.294 0.334 0.306
"235" 0.122 0.164 0.148 0.15 0.14
"236" 0.164 0.156 0.19 0.124 0.142
"237" 0.216 0.224 0.232 0.178 0.166
"238" 0.822 0.79 0.92 0.862 0.848
"239" 0.324 0.372 0.346 0.394 0.306
"240" 0.768 0.69 0.736 0.736 0.694
"241" 0.13 0.178 0.132 0.104 0.158
"242" 0.906 0.916 0.952 0.89 0.91
"243" 0.286 0.278 0.292 0.284 0.232
"244" 0.216 0.178 0.166 0.206 0.168
"245" 0.882 0.856 0.786 0.806 0.834
"246" 0.338 0.268 0.206 0.334 0.158
"247" 0.088 0.176 0.152 0.138 0.118
"248" 0.51 0.458 0.624 0.62 0.544
"249" 0.758 0.616 0.676 0.746 0.676
"250" 0.242 0.388 0.408 0.282 0.268
"251" 0.18 0.034 0.156 0.136 0.12
"252" 0.116 0.164 0.12 0.058 0.166
"253" 0.092 0.072 0.058 0.076 0.104
"254" 0.416 0.364 0.328 0.29 0.444
"255" 0.152 0.128 0.17 0.072 0.184
"256" 0.4 0.488 0.418 0.38 0.376
"257" 0.072 0.1 0.086 0.11 0.138
"258" 0.126 0.15 0.166 0.164 0.094
"259" 0.334 0.276 0.22 0.332 0.252
"260" 0.146 0.164 0.164 0.118 0.136
"261" 0.316 0.234 0.276 0.288 0.206
"262" 0.102 0.076 0.108 0.096 0.052
"263" 0.38 0.388 0.352 0.432 0.388
"264" 0.722 0.812 0.778 0.75 0.85
"265" 0.184 0.28 0.084 0.204 0.19
"266" 0.068 0.066 0.102 0.034 0.096
"267" 0.064 0.07 0.066 0.046 0.078
"268" 0.664 0.218 0.402 0.336 0.462
"269" 0.09 0.122 0.134 0.108 0.152
"270" 0.11 0.156 0.12 0.142 0.14
"271" 0.096 0.108 0.048 0.154 0.174
"272" 0.104 0.08 0.042 0.05 0.08
"273" 0.472 0.678 0.462 0.594 0.566
"274" 0.146 0.158 0.138 0.166 0.084
"275" 0.204 0.174 0.19 0.23 0.102
"276" 0.298 0.43 0.352 0.408 0.464
"277" 0.29 0.414 0.364 0.492 0.412
"278" 0.348 0.456 0.298 0.488 0.392
"279" 0.244 0.296 0.326 0.358 0.206
"280" 0.26 0.328 0.418 0.456 0.394
"281" 0.19 0.286 0.244 0.26 0.204
"282" 0.278 0.312 0.248 0.306 0.186
"283" 0.09 0.116 0.108 0.058 0.176
"284" 0.17 0.194 0.16 0.106 0.174
"285" 0.238 0.208 0.226 0.198 0.156
"286" 0.048 0.078 0.08 0.08 0.076
"287" 0.106 0.104 0.108 0.158 0.168
"288" 0.136 0.19 0.18 0.178 0.214
"289" 0.504 0.494 0.472 0.35 0.548
"290" 0.224 0.188 0.22 0.114 0.25
"291" 0.448 0.46 0.378 0.386 0.436
"292" 0.212 0.218 0.116 0.21 0.272
"293" 0.118 0.12 0.104 0.082 0.082
"294" 0.21 0.194 0.19 0.126 0.236
"295" 0.16 0.124 0.196 0.098 0.19
"296" 0.126 0.164 0.158 0.154 0.12
"297" 0.24 0.352 0.29 0.396 0.324
"298" 0.16 0.174 0.172 0.17 0.19
"299" 0.308 0.276 0.242 0.354 0.282
"300" 0.144 0.094 0.104 0.112 0.062
"301" 0.124 0.182 0.106 0.122 0.136
"302" 0.318 0.316 0.298 0.286 0.244
"303" 0.252 0.24 0.222 0.198 0.18
"304" 0.224 0.228 0.172 0.268 0.202
"305" 0.15 0.254 0.228 0.214 0.214
"306" 0.172 0.246 0.204 0.216 0.186
"307" 0.116 0.096 0.158 0.048 0.11
"308" 0.098 0.136 0.078 0.108 0.164
"309" 0.048 0.086 0.092 0.12 0.152
"310" 0.15 0.152 0.142 0.134 0.146
"311" 0.138 0.14 0.17 0.116 0.15
"312" 0.394 0.47 0.434 0.38 0.38
"313" 0.236 0.162 0.13 0.202 0.15
"314" 0.252 0.188 0.236 0.184 0.172
"315" 0.234 0.288 0.266 0.308 0.298
"316" 0.214 0.268 0.272 0.222 0.122
"317" 0.51 0.674 0.46 0.684 0.69
"318" 0.246 0.302 0.24 0.45 0.434
"319" 0.224 0.222 0.164 0.226 0.154
"320" 0.1 0.102 0.084 0.094 0.13
"321" 0.72 0.756 0.768 0.79 0.668
"322" 0.082 0.092 0.084 0.068 0.094
"323" 0.564 0.714 0.654 0.622 0.542
"324" 0.72 0.81 0.802 0.746 0.724
"325" 0.318 0.39 0.496 0.302 0.342
"326" 0.356 0.372 0.56 0.478 0.35
"327" 0.212 0.2 0.214 0.196 0.184
"328" 0.27 0.246 0.14 0.22 0.146
"329" 0.288 0.354 0.232 0.342 0.278
"330" 0.206 0.258 0.198 0.26 0.202
"331" 0.17 0.192 0.182 0.206 0.19
"332" 0.224 0.214 0.254 0.314 0.264
"333" 0.096 0.148 0.152 0.13 0.138
"334" 0.066 0.124 0.148 0.142 0.088
"335" 0.384 0.304 0.37 0.33 0.356
"336" 0.214 0.246 0.19 0.214 0.21
"337" 0.154 0.164 0.222 0.218 0.17
"338" 0.158 0.174 0.224 0.172 0.2
"339" 0.064 0.09 0.098 0.1 0.13
"340" 0.322 0.184 0.286 0.43 0.458
"341" 0.162 0.16 0.136 0.106 0.158
"342" 0.108 0.044 0.078 0.102 0.104
"343" 0.19 0.1 0.28 0.132 0.208
"344" 0.048 0.104 0.086 0.09 0.068
"345" 0.808 0.702 0.716 0.726 0.73
"346" 0.498 0.492 0.598 0.694 0.72
"347" 0.436 0.476 0.492 0.454 0.562
"348" 0.44 0.418 0.37 0.324 0.338
"349" 0.782 0.648 0.682 0.698 0.73
"350" 0.8 0.552 0.738 0.694 0.74
"351" 0.564 0.534 0.494 0.322 0.616
"352" 0.204 0.206 0.228 0.146 0.236
"353" 0.738 0.546 0.712 0.574 0.758
"354" 0.184 0.18 0.164 0.194 0.232
"355" 0.196 0.29 0.178 0.236 0.226
"356" 0.126 0.124 0.118 0.158 0.15
"357" 0.118 0.096 0.148 0.162 0.086
"358" 0.064 0.144 0.122 0.154 0.15
"359" 0.234 0.126 0.094 0.12 0.148
"360" 0.434 0.606 0.412 0.458 0.32
"361" 0.768 0.84 0.854 0.838 0.776
"362" 0.284 0.306 0.216 0.264 0.21
"363" 0.032 0.046 0.044 0.04 0.062
"364" 0.34 0.26 0.258 0.296 0.284
"365" 0.354 0.342 0.276 0.37 0.398
"366" 0.742 0.632 0.748 0.834 0.772
"367" 0.288 0.226 0.238 0.352 0.29
"368" 0.24 0.262 0.19 0.25 0.282
"369" 0.224 0.188 0.2 0.26 0.272
"370" 0.396 0.354 0.464 0.404 0.422
"371" 0.164 0.162 0.126 0.19 0.146
"372" 0.54 0.542 0.572 0.396 0.578
"373" 0.464 0.512 0.588 0.454 0.536
"374" 0.164 0.188 0.306 0.292 0.092
"375" 0.174 0.206 0.218 0.18 0.15
"376" 0.348 0.258 0.206 0.226 0.332
"377" 0.44 0.4 0.496 0.396 0.506
"378" 0.886 0.796 0.862 0.914 0.92
