"V1" "V2" "V3" "V4" "V5"
"133" 0.184 0.24 0.166 0.206 0.16
"134" 0.316 0.256 0.358 0.372 0.354
"135" 0.412 0.32 0.36 0.306 0.274
"136" 0.134 0.21 0.092 0.148 0.296
"137" 0.016 0.18 0.012 0.226 0.054
"138" 0.23 0.32 0.266 0.348 0.482
"139" 0.428 0.43 0.564 0.296 0.418
"140" 0.232 0.362 0.356 0.422 0.35
"141" 0.176 0.286 0.18 0.282 0.192
"142" 0.214 0.28 0.238 0.276 0.158
"143" 0.366 0.382 0.288 0.376 0.412
"144" 0.248 0.354 0.278 0.206 0.338
"145" 0.342 0.436 0.358 0.278 0.398
"146" 0.204 0.224 0.186 0.202 0.188
"147" 0.276 0.33 0.282 0.266 0.228
"148" 0.252 0.276 0.194 0.16 0.206
"149" 0.37 0.272 0.328 0.418 0.302
"150" 0.502 0.326 0.48 0.56 0.39
"151" 0.278 0.29 0.288 0.25 0.302
"152" 0.298 0.22 0.312 0.26 0.232
"153" 0.256 0.214 0.254 0.248 0.182
"154" 0.412 0.332 0.366 0.366 0.196
"155" 0.18 0.158 0.246 0.184 0.238
"156" 0.146 0.058 0.094 0.05 0.106
"157" 0.23 0.218 0.218 0.174 0.202
"158" 0.196 0.216 0.2 0.132 0.142
"159" 0.274 0.266 0.344 0.238 0.218
"160" 0.266 0.322 0.336 0.324 0.274
"161" 0.184 0.158 0.194 0.164 0.2
"162" 0.334 0.334 0.398 0.324 0.334
"163" 0.382 0.408 0.318 0.438 0.316
"164" 0.768 0.474 0.728 0.604 0.704
"165" 0.192 0.276 0.404 0.348 0.238
"166" 0.31 0.382 0.294 0.256 0.222
"167" 0.274 0.278 0.248 0.204 0.27
"168" 0.272 0.456 0.296 0.344 0.42
"169" 0.43 0.402 0.498 0.402 0.538
"170" 0.158 0.316 0.162 0.232 0.204
"171" 0.322 0.432 0.37 0.48 0.468
"172" 0.362 0.37 0.36 0.346 0.396
"173" 0.514 0.406 0.352 0.438 0.27
"174" 0.208 0.178 0.244 0.178 0.238
"175" 0.4 0.374 0.382 0.33 0.3
"176" 0.328 0.3 0.276 0.266 0.254
"177" 0.078 0.062 0.084 0.072 0.092
"178" 0.062 0.11 0.122 0.05 0.066
"179" 0.428 0.386 0.392 0.468 0.412
"180" 0.276 0.342 0.27 0.274 0.312
"181" 0.222 0.356 0.362 0.224 0.31
"182" 0.308 0.246 0.39 0.378 0.302
"183" 0.41 0.386 0.386 0.5 0.384
"184" 0.248 0.454 0.516 0.446 0.424
"185" 0.456 0.458 0.386 0.378 0.524
"186" 0.344 0.264 0.272 0.26 0.256
"187" 0.406 0.512 0.418 0.434 0.436
"188" 0.212 0.316 0.292 0.294 0.226
"189" 0.486 0.552 0.256 0.454 0.416
"190" 0.296 0.306 0.402 0.324 0.246
"191" 0.33 0.386 0.338 0.368 0.318
"192" 0.062 0.116 0.108 0.158 0.136
"193" 0.068 0.178 0.104 0.088 0.102
"194" 0.224 0.24 0.152 0.172 0.16
"195" 0.154 0.208 0.118 0.15 0.136
"196" 0.262 0.158 0.202 0.214 0.108
"197" 0.266 0.19 0.342 0.466 0.168
"198" 0.24 0.334 0.186 0.244 0.158
"199" 0.346 0.418 0.376 0.352 0.456
"200" 0.29 0.244 0.292 0.292 0.266
"201" 0.32 0.264 0.384 0.25 0.342
"202" 0.416 0.322 0.39 0.468 0.268
"203" 0.182 0.28 0.234 0.184 0.198
"204" 0.268 0.376 0.35 0.286 0.37
"205" 0.172 0.176 0.232 0.238 0.196
"206" 0.122 0.134 0.142 0.156 0.204
"207" 0.218 0.188 0.2 0.19 0.22
"208" 0.338 0.352 0.402 0.28 0.42
"209" 0.328 0.242 0.212 0.218 0.282
"210" 0.252 0.206 0.216 0.156 0.26
"211" 0.26 0.382 0.306 0.298 0.312
"212" 0.562 0.536 0.546 0.474 0.52
"213" 0.416 0.44 0.342 0.412 0.326
"214" 0.406 0.434 0.458 0.378 0.384
"215" 0.36 0.274 0.264 0.312 0.276
"216" 0.244 0.21 0.218 0.282 0.242
"217" 0.472 0.49 0.526 0.544 0.508
"218" 0.372 0.472 0.436 0.398 0.272
"219" 0.298 0.382 0.304 0.238 0.244
"220" 0.318 0.3 0.336 0.296 0.242
"221" 0.348 0.398 0.36 0.38 0.426
"222" 0.332 0.32 0.29 0.29 0.41
"223" 0.172 0.268 0.23 0.264 0.308
"224" 0.39 0.542 0.526 0.522 0.54
"225" 0.31 0.348 0.324 0.318 0.314
"226" 0.3 0.412 0.21 0.274 0.284
"227" 0.274 0.256 0.25 0.326 0.238
"228" 0.348 0.362 0.302 0.344 0.312
"229" 0.24 0.256 0.254 0.258 0.288
"230" 0.318 0.332 0.22 0.182 0.192
"231" 0.142 0.152 0.14 0.23 0.194
"232" 0.238 0.258 0.22 0.192 0.144
"233" 0.216 0.234 0.232 0.242 0.202
"234" 0.216 0.196 0.102 0.142 0.094
"235" 0.306 0.32 0.278 0.256 0.246
"236" 0.238 0.26 0.28 0.4 0.158
"237" 0.258 0.224 0.186 0.172 0.188
"238" 0.326 0.264 0.254 0.35 0.334
"239" 0.312 0.394 0.208 0.376 0.37
"240" 0.304 0.314 0.206 0.306 0.32
"241" 0.282 0.264 0.252 0.312 0.326
"242" 0.298 0.182 0.308 0.194 0.192
"243" 0.176 0.202 0.154 0.24 0.148
"244" 0.172 0.208 0.282 0.24 0.2
"245" 0.284 0.282 0.258 0.31 0.22
"246" 0.236 0.294 0.18 0.272 0.218
"247" 0.334 0.282 0.34 0.396 0.374
"248" 0.048 0.018 0.03 0.046 0.06
"249" 0.29 0.24 0.256 0.246 0.23
"250" 0.31 0.154 0.35 0.32 0.166
"251" 0.448 0.532 0.426 0.47 0.514
"252" 0.236 0.17 0.166 0.22 0.152
"253" 0.33 0.316 0.246 0.354 0.302
"254" 0.176 0.204 0.134 0.176 0.168
"255" 0.252 0.248 0.248 0.27 0.252
"256" 0.284 0.346 0.352 0.422 0.296
"257" 0.564 0.52 0.362 0.532 0.43
"258" 0.576 0.46 0.406 0.406 0.214
"259" 0.248 0.228 0.208 0.374 0.232
"260" 0.56 0.486 0.346 0.494 0.486
"261" 0.306 0.22 0.256 0.282 0.218
"262" 0.252 0.222 0.21 0.222 0.246
"263" 0.442 0.402 0.456 0.448 0.476
"264" 0.376 0.358 0.386 0.372 0.36
"265" 0.342 0.338 0.352 0.41 0.362
"266" 0.362 0.354 0.36 0.366 0.35
"267" 0.318 0.35 0.41 0.434 0.45
"268" 0.294 0.166 0.316 0.28 0.328
"269" 0.366 0.402 0.352 0.508 0.456
"270" 0.274 0.268 0.364 0.288 0.336
"271" 0.18 0.178 0.19 0.174 0.21
"272" 0.406 0.324 0.482 0.47 0.444
"273" 0.264 0.274 0.202 0.31 0.25
"274" 0.276 0.226 0.236 0.218 0.314
"275" 0.342 0.282 0.25 0.19 0.328
"276" 0.43 0.49 0.398 0.444 0.48
"277" 0.226 0.212 0.292 0.282 0.248
"278" 0.174 0.22 0.148 0.248 0.198
"279" 0.26 0.326 0.302 0.242 0.27
"280" 0.288 0.226 0.362 0.274 0.392
"281" 0.27 0.346 0.264 0.428 0.274
"282" 0.41 0.344 0.512 0.33 0.366
"283" 0.224 0.322 0.378 0.328 0.262
"284" 0.426 0.532 0.458 0.372 0.406
"285" 0.236 0.184 0.286 0.27 0.274
"286" 0.392 0.662 0.55 0.448 0.398
"287" 0.224 0.286 0.272 0.25 0.286
"288" 0.166 0.23 0.174 0.236 0.156
"289" 0.166 0.194 0.154 0.198 0.198
"290" 0.16 0.122 0.192 0.204 0.192
"291" 0.384 0.37 0.408 0.508 0.362
"292" 0.23 0.336 0.296 0.212 0.256
"293" 0.536 0.556 0.616 0.642 0.582
"294" 0.448 0.466 0.556 0.458 0.446
"295" 0.32 0.242 0.27 0.374 0.318
"296" 0.434 0.35 0.39 0.388 0.362
"297" 0.212 0.084 0.174 0.232 0.282
"298" 0.29 0.182 0.178 0.262 0.316
"299" 0.488 0.338 0.252 0.376 0.398
"300" 0.184 0.212 0.152 0.226 0.202
"301" 0.354 0.332 0.41 0.29 0.298
"302" 0.118 0.158 0.106 0.18 0.156
"303" 0.322 0.232 0.192 0.356 0.28
"304" 0.568 0.588 0.298 0.596 0.586
"305" 0.168 0.23 0.148 0.224 0.216
"306" 0.334 0.288 0.218 0.236 0.204
"307" 0.272 0.338 0.31 0.378 0.3
"308" 0.36 0.328 0.296 0.394 0.29
"309" 0.338 0.342 0.352 0.414 0.362
"310" 0.282 0.362 0.302 0.348 0.284
"311" 0.334 0.312 0.292 0.424 0.324
"312" 0.498 0.478 0.574 0.618 0.596
"313" 0.496 0.588 0.616 0.59 0.636
"314" 0.336 0.378 0.444 0.524 0.414
"315" 0.304 0.362 0.21 0.292 0.374
"316" 0.524 0.598 0.33 0.604 0.578
"317" 0.272 0.438 0.37 0.316 0.426
"318" 0.296 0.368 0.224 0.31 0.322
"319" 0.29 0.388 0.372 0.364 0.376
"320" 0.16 0.192 0.156 0.208 0.154
"321" 0.208 0.308 0.28 0.324 0.328
"322" 0.622 0.506 0.568 0.596 0.63
"323" 0.452 0.54 0.516 0.428 0.45
"324" 0.376 0.314 0.398 0.36 0.416
"325" 0.484 0.578 0.602 0.506 0.468
"326" 0.324 0.482 0.33 0.332 0.258
"327" 0.276 0.396 0.222 0.324 0.248
"328" 0.306 0.416 0.206 0.282 0.154
"329" 0.31 0.388 0.318 0.332 0.302
"330" 0.23 0.24 0.27 0.252 0.218
"331" 0.384 0.398 0.458 0.336 0.384
"332" 0.232 0.202 0.248 0.348 0.302
"333" 0.22 0.186 0.29 0.368 0.286
"334" 0.278 0.326 0.206 0.216 0.444
"335" 0.264 0.272 0.292 0.33 0.332
"336" 0.33 0.398 0.34 0.442 0.458
"337" 0.338 0.342 0.352 0.348 0.47
"338" 0.222 0.264 0.304 0.264 0.286
"339" 0.226 0.248 0.264 0.286 0.348
"340" 0.416 0.418 0.374 0.338 0.408
"341" 0.262 0.212 0.202 0.208 0.294
"342" 0.236 0.222 0.186 0.282 0.244
"343" 0.294 0.344 0.302 0.302 0.264
"344" 0.322 0.362 0.366 0.312 0.39
"345" 0.32 0.152 0.172 0.214 0.228
"346" 0.45 0.286 0.286 0.464 0.19
"347" 0.514 0.524 0.524 0.508 0.256
"348" 0.306 0.222 0.208 0.226 0.256
"349" 0.202 0.214 0.156 0.192 0.132
"350" 0.248 0.238 0.294 0.246 0.318
"351" 0.38 0.204 0.198 0.208 0.286
"352" 0.348 0.494 0.316 0.352 0.352
"353" 0.256 0.268 0.31 0.212 0.22
"354" 0.362 0.336 0.37 0.402 0.328
"355" 0.254 0.258 0.386 0.334 0.346
"356" 0.528 0.41 0.474 0.472 0.438
"357" 0.152 0.148 0.23 0.164 0.282
"358" 0.386 0.224 0.306 0.412 0.292
"359" 0.286 0.314 0.25 0.288 0.232
"360" 0.32 0.218 0.414 0.31 0.37
"361" 0.224 0.302 0.338 0.31 0.288
"362" 0.354 0.32 0.388 0.344 0.346
"363" 0.434 0.486 0.47 0.402 0.472
"364" 0.418 0.314 0.29 0.288 0.386
"365" 0.402 0.276 0.264 0.354 0.308
"366" 0.242 0.424 0.356 0.408 0.382
"367" 0.388 0.362 0.474 0.42 0.362
"368" 0.302 0.388 0.268 0.342 0.258
"369" 0.278 0.252 0.264 0.312 0.214
"370" 0.39 0.442 0.372 0.432 0.414
"371" 0.252 0.388 0.336 0.444 0.302
"372" 0.27 0.262 0.176 0.31 0.202
"373" 0.406 0.314 0.428 0.408 0.406
"374" 0.382 0.38 0.382 0.332 0.28
"375" 0.45 0.354 0.428 0.402 0.25
"376" 0.344 0.282 0.36 0.302 0.25
"377" 0.378 0.408 0.452 0.41 0.278
"378" 0.144 0.098 0.094 0.116 0.102
"379" 0.132 0.13 0.144 0.172 0.122
"380" 0.346 0.278 0.3 0.308 0.312
"381" 0.184 0.184 0.174 0.174 0.246
"382" 0.386 0.37 0.4 0.308 0.388
"383" 0.418 0.446 0.402 0.414 0.31
"384" 0.376 0.452 0.362 0.422 0.224
"385" 0.41 0.502 0.376 0.402 0.35
"386" 0.504 0.574 0.386 0.466 0.326
"387" 0.422 0.444 0.334 0.32 0.254
"388" 0.358 0.35 0.33 0.312 0.372
"389" 0.42 0.464 0.416 0.454 0.488
"390" 0.15 0.178 0.174 0.228 0.128
"391" 0.264 0.21 0.272 0.2 0.17
"392" 0.202 0.22 0.242 0.2 0.248
"393" 0.346 0.304 0.366 0.278 0.32
