"V1" "V2" "V3" "V4" "V5"
"133" 0.784 0.91 0.852 0.936 0.864
"134" 0.376 0.502 0.29 0.404 0.436
"135" 0.478 0.52 0.378 0.428 0.55
"136" 0.824 0.882 0.842 0.944 0.878
"137" 0.14 0.17 0.164 0.162 0.168
"138" 0.172 0.202 0.178 0.2 0.176
"139" 0.12 0.144 0.12 0.152 0.104
"140" 0.18 0.048 0.19 0.202 0.132
"141" 0.078 0.096 0.058 0.078 0.102
"142" 0.168 0.106 0.142 0.16 0.17
"143" 0.244 0.194 0.242 0.262 0.252
"144" 0.276 0.228 0.278 0.274 0.264
"145" 0.258 0.186 0.258 0.214 0.238
"146" 0.17 0.152 0.202 0.168 0.18
"147" 0.26 0.222 0.274 0.208 0.276
"148" 0.282 0.208 0.26 0.16 0.216
"149" 0.206 0.218 0.29 0.196 0.146
"150" 0.18 0.238 0.352 0.238 0.18
"151" 0.404 0.29 0.28 0.198 0.324
"152" 0.366 0.338 0.276 0.264 0.302
"153" 0.444 0.452 0.39 0.522 0.408
"154" 0.182 0.19 0.148 0.136 0.106
"155" 0.224 0.256 0.242 0.064 0.176
"156" 0.096 0.084 0.086 0.05 0.088
"157" 0.348 0.288 0.27 0.282 0.218
"158" 0.972 0.98 0.984 0.98 0.988
"159" 0.45 0.744 0.548 0.604 0.514
"160" 0.12 0.092 0.088 0.112 0.112
"161" 0.92 0.98 0.968 0.97 0.936
"162" 0.296 0.316 0.136 0.302 0.226
"163" 0.478 0.474 0.56 0.542 0.406
"164" 0.232 0.076 0.23 0.2 0.152
"165" 0.102 0.072 0.088 0.052 0.07
"166" 0.138 0.142 0.158 0.188 0.156
"167" 0.978 0.946 0.98 0.94 0.96
"168" 0.178 0.166 0.166 0.16 0.122
"169" 0.492 0.396 0.416 0.48 0.516
"170" 0.212 0.326 0.218 0.216 0.268
"171" 0.41 0.34 0.518 0.398 0.416
"172" 0.954 0.92 0.942 0.968 0.948
"173" 0.16 0.172 0.126 0.124 0.17
"174" 0.192 0.16 0.256 0.146 0.142
"175" 0.186 0.176 0.256 0.162 0.112
"176" 0.208 0.21 0.258 0.158 0.136
"177" 0.268 0.21 0.36 0.276 0.158
"178" 0.144 0.11 0.16 0.116 0.174
"179" 0.148 0.13 0.148 0.19 0.15
"180" 0.394 0.44 0.286 0.422 0.346
"181" 0.534 0.538 0.534 0.542 0.51
"182" 0.116 0.12 0.082 0.164 0.118
"183" 0.298 0.25 0.288 0.284 0.274
"184" 0.224 0.28 0.256 0.252 0.226
"185" 0.114 0.194 0.194 0.22 0.132
"186" 0.178 0.15 0.168 0.136 0.182
"187" 0.19 0.158 0.088 0.208 0.176
"188" 0.37 0.404 0.326 0.356 0.382
"189" 0.066 0.082 0.11 0.092 0.09
"190" 0.95 0.902 0.938 0.896 0.964
"191" 0.43 0.376 0.384 0.372 0.436
"192" 0.5 0.43 0.318 0.378 0.434
"193" 0.266 0.32 0.236 0.252 0.126
"194" 0.206 0.22 0.188 0.238 0.19
"195" 0.236 0.234 0.218 0.258 0.216
"196" 0.262 0.244 0.206 0.268 0.23
"197" 0.2 0.154 0.18 0.152 0.074
"198" 0.96 0.972 0.974 0.968 0.978
"199" 0.148 0.194 0.26 0.216 0.216
"200" 0.216 0.232 0.266 0.402 0.254
"201" 0.172 0.226 0.28 0.276 0.266
"202" 0.168 0.17 0.108 0.146 0.152
"203" 0.164 0.132 0.146 0.192 0.182
"204" 0.168 0.204 0.178 0.148 0.182
"205" 0.098 0.106 0.05 0.048 0.062
"206" 0.162 0.19 0.196 0.212 0.186
"207" 0.16 0.092 0.148 0.142 0.168
"208" 0.374 0.342 0.496 0.424 0.59
"209" 0.174 0.158 0.168 0.146 0.258
"210" 0.2 0.228 0.138 0.15 0.194
"211" 0.11 0.198 0.158 0.184 0.194
"212" 0.098 0.108 0.128 0.084 0.102
"213" 0.682 0.678 0.71 0.688 0.64
"214" 0.096 0.098 0.116 0.12 0.104
"215" 0.206 0.178 0.22 0.212 0.154
"216" 0.252 0.296 0.35 0.264 0.288
"217" 0.11 0.134 0.112 0.122 0.15
"218" 0.338 0.276 0.434 0.382 0.402
"219" 0.052 0.132 0.082 0.098 0.078
"220" 0.324 0.4 0.326 0.298 0.312
"221" 0.142 0.156 0.122 0.156 0.132
"222" 0.946 0.96 0.962 0.974 0.966
"223" 0.18 0.084 0.092 0.15 0.196
"224" 0.094 0.1 0.088 0.104 0.086
"225" 0.892 0.888 0.914 0.93 0.942
"226" 0.098 0.084 0.076 0.084 0.048
"227" 0.548 0.47 0.556 0.552 0.598
"228" 0.282 0.362 0.308 0.358 0.322
"229" 0.23 0.266 0.168 0.246 0.164
"230" 0.256 0.25 0.27 0.28 0.252
"231" 0.202 0.208 0.196 0.164 0.094
"232" 0.256 0.234 0.262 0.236 0.134
"233" 0.148 0.192 0.176 0.224 0.226
"234" 0.142 0.18 0.196 0.208 0.224
"235" 0.098 0.124 0.114 0.134 0.108
"236" 0.102 0.152 0.122 0.104 0.134
"237" 0.11 0.166 0.104 0.122 0.132
"238" 0.962 0.97 0.986 0.956 0.98
