"V1" "V2" "V3" "V4" "V5"
"133" 0.174 0.532 0.188 0.39 0.104
"134" 0.28 0.246 0.2 0.388 0.4
"135" 0.24 0.272 0.066 0.218 0.072
"136" 0.266 0.224 0.11 0.086 0.282
"137" 0.344 0.394 0.288 0.33 0.228
"138" 0.544 0.492 0.564 0.678 0.446
"139" 0.214 0.096 0.242 0.292 0.186
"140" 0.158 0.182 0.158 0.166 0.18
"141" 0.114 0.104 0.108 0.074 0.144
"142" 0.172 0.316 0.312 0.196 0.294
"143" 0.254 0.204 0.238 0.226 0.292
"144" 0.112 0.144 0.12 0.106 0.076
"145" 0.308 0.182 0.23 0.264 0.306
"146" 0.292 0.25 0.234 0.25 0.358
"147" 0.372 0.294 0.212 0.4 0.296
"148" 0.286 0.132 0.264 0.292 0.398
"149" 0.12 0.172 0.104 0.1 0.144
"150" 0.446 0.564 0.384 0.468 0.43
"151" 0.13 0.14 0.156 0.116 0.292
"152" 0.266 0.194 0.152 0.158 0.214
"153" 0.04 0.058 0.042 0.058 0.048
"154" 0.536 0.374 0.506 0.372 0.352
"155" 0.468 0.47 0.672 0.424 0.482
"156" 0.374 0.29 0.354 0.286 0.38
"157" 0.506 0.44 0.472 0.39 0.494
"158" 0.568 0.536 0.692 0.574 0.474
"159" 0.022 0.06 0.05 0.028 0.06
"160" 0.11 0.142 0.204 0.054 0.194
"161" 0.034 0.052 0.044 0.054 0.08
"162" 0.276 0.272 0.278 0.22 0.318
"163" 0.454 0.362 0.27 0.398 0.33
"164" 0.274 0.188 0.322 0.284 0.22
"165" 0.28 0.348 0.294 0.286 0.31
"166" 0.128 0.138 0.168 0.204 0.112
"167" 0.584 0.61 0.538 0.626 0.568
"168" 0.364 0.284 0.296 0.366 0.3
"169" 0.212 0.28 0.308 0.282 0.278
"170" 0.308 0.38 0.38 0.402 0.39
"171" 0.624 0.59 0.692 0.596 0.6
"172" 0.182 0.352 0.344 0.282 0.166
"173" 0.118 0.148 0.264 0.246 0.256
"174" 0.85 0.69 0.764 0.716 0.662
"175" 0.112 0.122 0.17 0.184 0.17
"176" 0.092 0.278 0.152 0.162 0.182
"177" 0.194 0.344 0.188 0.272 0.206
"178" 0.094 0.024 0.09 0.074 0.114
"179" 0.088 0.076 0.102 0.096 0.056
"180" 0.304 0.41 0.282 0.556 0.454
"181" 0.306 0.154 0.25 0.248 0.19
"182" 0.214 0.25 0.31 0.298 0.252
"183" 0.17 0.162 0.214 0.286 0.046
"184" 0.13 0.152 0.166 0.258 0.066
"185" 0.124 0.056 0.162 0.132 0.132
"186" 0.104 0.144 0.114 0.092 0.114
"187" 0.42 0.358 0.364 0.312 0.368
"188" 0.242 0.248 0.224 0.188 0.166
"189" 0.246 0.322 0.22 0.192 0.208
"190" 0.444 0.428 0.252 0.334 0.194
"191" 0.078 0.144 0.06 0.11 0.168
"192" 0.264 0.296 0.212 0.294 0.348
"193" 0.456 0.372 0.31 0.412 0.47
"194" 0.082 0.242 0.168 0.134 0.14
"195" 0.32 0.39 0.292 0.44 0.37
"196" 0.302 0.414 0.4 0.482 0.33
"197" 0.182 0.192 0.124 0.172 0.19
"198" 0.452 0.548 0.454 0.572 0.534
"199" 0.484 0.552 0.458 0.46 0.586
"200" 0.23 0.27 0.256 0.16 0.324
"201" 0.094 0.158 0.052 0.152 0.052
"202" 0.46 0.494 0.42 0.506 0.486
"203" 0.232 0.152 0.24 0.146 0.348
"204" 0.216 0.17 0.25 0.256 0.262
"205" 0.226 0.12 0.31 0.202 0.124
"206" 0.376 0.194 0.256 0.366 0.334
"207" 0.068 0.05 0.088 0.046 0.044
"208" 0.252 0.278 0.232 0.336 0.24
"209" 0.34 0.364 0.396 0.318 0.366
"210" 0.23 0.254 0.178 0.222 0.216
"211" 0.164 0.158 0.142 0.222 0.186
"212" 0.19 0.254 0.19 0.26 0.266
"213" 0.42 0.454 0.55 0.524 0.502
"214" 0.122 0.084 0.194 0.146 0.162
"215" 0.326 0.416 0.392 0.428 0.266
"216" 0.094 0.134 0.152 0.086 0.132
"217" 0.136 0.088 0.1 0.082 0.094
"218" 0.468 0.25 0.524 0.228 0.372
"219" 0.128 0.184 0.088 0.212 0.086
"220" 0.26 0.252 0.228 0.37 0.246
"221" 0.202 0.156 0.14 0.146 0.176
"222" 0.5 0.456 0.362 0.326 0.522
"223" 0.04 0.08 0.068 0.062 0.086
"224" 0.142 0.11 0.152 0.152 0.152
"225" 0.208 0.078 0.194 0.23 0.058
"226" 0.298 0.258 0.244 0.284 0.276
"227" 0.19 0.14 0.238 0.208 0.218
"228" 0.338 0.272 0.3 0.316 0.32
"229" 0.248 0.236 0.274 0.326 0.338
"230" 0.09 0.132 0.112 0.07 0.068
"231" 0.082 0.186 0.136 0.25 0.154
"232" 0.092 0.09 0.106 0.03 0.028
"233" 0.16 0.216 0.204 0.178 0.158
"234" 0.484 0.336 0.398 0.316 0.392
"235" 0.372 0.3 0.134 0.19 0.282
"236" 0.346 0.238 0.272 0.33 0.242
"237" 0.218 0.208 0.216 0.262 0.128
"238" 0.434 0.32 0.37 0.426 0.316
"239" 0.458 0.29 0.308 0.268 0.356
"240" 0.438 0.258 0.336 0.37 0.346
"241" 0.38 0.29 0.302 0.296 0.37
"242" 0.412 0.526 0.464 0.492 0.526
"243" 0.318 0.41 0.382 0.21 0.27
"244" 0.388 0.408 0.214 0.284 0.13
"245" 0.484 0.346 0.12 0.17 0.298
"246" 0.31 0.442 0.358 0.394 0.288
"247" 0.154 0.146 0.15 0.126 0.058
"248" 0.236 0.43 0.268 0.316 0.246
"249" 0.088 0.13 0.142 0.158 0.102
"250" 0.194 0.274 0.196 0.234 0.182
"251" 0.64 0.576 0.538 0.458 0.554
"252" 0.394 0.376 0.32 0.344 0.392
"253" 0.24 0.16 0.17 0.182 0.156
"254" 0.166 0.11 0.102 0.164 0.158
"255" 0.098 0.138 0.09 0.16 0.168
"256" 0.218 0.25 0.126 0.126 0.098
"257" 0.454 0.432 0.404 0.408 0.274
"258" 0.326 0.352 0.288 0.44 0.266
"259" 0.138 0.186 0.112 0.132 0.166
"260" 0.156 0.254 0.202 0.136 0.144
"261" 0.196 0.222 0.19 0.342 0.186
"262" 0.272 0.432 0.38 0.524 0.366
"263" 0.476 0.426 0.328 0.382 0.454
"264" 0.426 0.446 0.466 0.482 0.492
"265" 0.244 0.19 0.266 0.15 0.218
"266" 0.224 0.082 0.168 0.172 0.158
"267" 0.21 0.15 0.17 0.228 0.184
"268" 0.402 0.466 0.536 0.56 0.352
"269" 0.312 0.344 0.4 0.434 0.394
"270" 0.08 0.122 0.136 0.112 0.096
"271" 0.29 0.306 0.322 0.206 0.198
"272" 0.214 0.258 0.236 0.234 0.176
"273" 0.426 0.588 0.46 0.528 0.532
"274" 0.328 0.278 0.18 0.292 0.236
"275" 0.464 0.392 0.244 0.396 0.324
"276" 0.454 0.42 0.272 0.426 0.6
"277" 0.336 0.454 0.364 0.294 0.3
"278" 0.386 0.344 0.392 0.37 0.456
"279" 0.104 0.244 0.164 0.156 0.138
"280" 0.546 0.218 0.54 0.474 0.536
"281" 0.232 0.17 0.15 0.204 0.182
"282" 0.348 0.516 0.624 0.42 0.468
"283" 0.22 0.164 0.318 0.196 0.332
"284" 0.23 0.288 0.282 0.148 0.19
"285" 0.234 0.282 0.272 0.176 0.194
"286" 0.414 0.342 0.382 0.228 0.206
"287" 0.11 0.142 0.212 0.204 0.176
"288" 0.138 0.196 0.212 0.098 0.206
