"V1" "V2" "V3" "V4" "V5"
"133" 0.928 0.886 0.83 0.912 0.956
"134" 0.764 0.844 0.65 0.652 0.656
"135" 0.764 0.844 0.65 0.652 0.656
"136" 0.928 0.886 0.83 0.912 0.956
"137" 0.246 0.214 0.254 0.272 0.238
"138" 0.138 0.074 0.128 0.152 0.268
"139" 0.214 0.218 0.198 0.256 0.222
"140" 0.296 0.168 0.248 0.248 0.244
"141" 0.1 0.078 0.094 0.118 0.1
"142" 0.182 0.24 0.336 0.214 0.234
"143" 0.22 0.246 0.294 0.242 0.252
"144" 0.268 0.264 0.342 0.276 0.318
"145" 0.214 0.246 0.266 0.216 0.24
"146" 0.214 0.164 0.278 0.114 0.154
"147" 0.112 0.078 0.188 0.052 0.13
"148" 0.066 0.102 0.15 0.15 0.192
"149" 0.108 0.196 0.136 0.128 0.166
"150" 0.168 0.12 0.328 0.24 0.346
"151" 0.146 0.17 0.11 0.194 0.118
"152" 0.138 0.182 0.174 0.132 0.2
"153" 0.444 0.352 0.528 0.576 0.498
"154" 0.43 0.338 0.416 0.484 0.438
"155" 0.256 0.278 0.28 0.194 0.298
"156" 0.196 0.19 0.164 0.152 0.156
"157" 0.172 0.162 0.148 0.118 0.176
"158" 0.988 0.988 0.972 0.986 0.964
"159" 0.84 0.972 0.858 0.89 0.796
"160" 0.37 0.452 0.31 0.312 0.462
"161" 0.988 0.988 0.972 0.986 0.964
"162" 0.282 0.31 0.178 0.238 0.252
"163" 0.238 0.188 0.274 0.236 0.18
"164" 0.278 0.258 0.284 0.282 0.276
"165" 0.478 0.538 0.476 0.24 0.124
"166" 0.334 0.312 0.354 0.358 0.326
"167" 0.91 0.894 0.88 0.914 0.798
"168" 0.282 0.21 0.262 0.25 0.16
"169" 0.346 0.348 0.356 0.336 0.474
"170" 0.24 0.27 0.266 0.24 0.258
"171" 0.252 0.328 0.388 0.258 0.316
"172" 0.68 0.604 0.552 0.722 0.594
"173" 0.28 0.304 0.292 0.23 0.288
"174" 0.182 0.166 0.214 0.224 0.236
"175" 0.182 0.166 0.214 0.224 0.236
"176" 0.294 0.196 0.262 0.212 0.128
"177" 0.294 0.196 0.262 0.212 0.128
"178" 0.002 0.02 0.028 0.006 0.01
"179" 0.174 0.12 0.172 0.206 0.194
"180" 0.44 0.464 0.492 0.496 0.4
"181" 0.34 0.434 0.438 0.396 0.314
"182" 0.102 0.1 0.116 0.18 0.136
"183" 0.136 0.16 0.118 0.192 0.14
"184" 0.256 0.24 0.372 0.354 0.274
"185" 0.304 0.288 0.228 0.352 0.22
"186" 0.308 0.216 0.262 0.324 0.276
"187" 0.206 0.11 0.208 0.202 0.162
"188" 0.194 0.136 0.164 0.15 0.102
"189" 0.068 0.1 0.076 0.092 0.072
"190" 0.87 0.882 0.958 0.888 0.932
"191" 0.616 0.56 0.55 0.54 0.684
"192" 0.616 0.56 0.55 0.54 0.684
"193" 0.166 0.116 0.174 0.174 0.136
"194" 0.746 0.782 0.628 0.658 0.748
"195" 0.746 0.782 0.628 0.658 0.748
"196" 0.746 0.782 0.628 0.658 0.748
"197" 0.62 0.674 0.618 0.536 0.614
"198" 0.93 0.986 0.868 0.942 0.928
"199" 0.01 0.06 0.158 0.09 0.072
"200" 0.042 0.052 0.044 0.17 0.088
"201" 0.012 0.028 0.016 0.028 0.024
"202" 0.184 0.154 0.138 0.126 0.088
"203" 0.434 0.218 0.416 0.366 0.218
"204" 0.312 0.234 0.334 0.216 0.248
"205" 0.234 0.174 0.186 0.184 0.148
"206" 0.246 0.236 0.254 0.28 0.266
"207" 0.184 0.126 0.078 0.15 0.224
"208" 0.538 0.486 0.356 0.516 0.586
"209" 0.478 0.332 0.192 0.388 0.424
"210" 0.192 0.25 0.214 0.222 0.32
"211" 0.178 0.208 0.164 0.156 0.18
"212" 0.178 0.204 0.178 0.078 0.152
"213" 0.388 0.46 0.558 0.4 0.37
"214" 0.05 0.048 0.07 0.094 0.046
"215" 0.276 0.298 0.186 0.238 0.192
"216" 0.116 0.132 0.15 0.128 0.14
"217" 0.242 0.262 0.198 0.206 0.14
"218" 0.138 0.194 0.2 0.182 0.11
"219" 0.09 0.096 0.076 0.104 0.062
"220" 0.156 0.176 0.186 0.198 0.158
"221" 0.47 0.392 0.478 0.53 0.112
"222" 0.938 0.894 0.9 0.876 0.768
"223" 0.168 0.092 0.136 0.216 0.178
"224" 0.224 0.28 0.298 0.368 0.2
"225" 0.67 0.762 0.676 0.824 0.762
"226" 0.202 0.144 0.262 0.164 0.188
"227" 0.472 0.606 0.396 0.536 0.52
"228" 0.416 0.428 0.468 0.482 0.468
"229" 0.348 0.322 0.204 0.314 0.322
"230" 0.196 0.158 0.15 0.164 0.224
"231" 0.23 0.22 0.234 0.22 0.19
"232" 0.276 0.262 0.302 0.28 0.24
"233" 0.146 0.196 0.282 0.264 0.274
"234" 0.188 0.158 0.212 0.188 0.212
"235" 0.112 0.156 0.22 0.206 0.168
"236" 0.134 0.156 0.256 0.218 0.204
"237" 0.134 0.156 0.256 0.218 0.204
"238" 0.98 0.978 0.978 0.988 0.988
"239" 0.388 0.394 0.45 0.404 0.374
"240" 0.808 0.742 0.85 0.854 0.764
"241" 0.042 0.046 0.096 0.054 0.112
"242" 0.98 0.996 0.972 0.984 0.996
"243" 0.26 0.244 0.268 0.318 0.278
"244" 0.066 0.034 0.118 0.046 0.05
"245" 0.98 0.996 0.972 0.984 0.996
"246" 0.374 0.516 0.316 0.548 0.354
"247" 0.23 0.264 0.244 0.162 0.27
"248" 0.538 0.504 0.652 0.68 0.662
"249" 0.736 0.83 0.726 0.89 0.85
"250" 0.542 0.458 0.376 0.404 0.438
"251" 0.106 0.05 0.1 0.114 0.062
"252" 0.062 0.062 0.03 0.064 0.088
"253" 0.05 0.04 0.028 0.05 0.05
"254" 0.15 0.05 0.102 0.08 0.146
"255" 0.062 0.062 0.03 0.064 0.088
"256" 0.632 0.648 0.69 0.726 0.792
"257" 0.116 0.144 0.158 0.172 0.186
"258" 0.266 0.254 0.194 0.202 0.196
"259" 0.642 0.584 0.566 0.534 0.714
"260" 0.128 0.238 0.144 0.138 0.2
"261" 0.15 0.164 0.096 0.082 0.108
"262" 0.006 0.032 0.026 0.028 0.02
"263" 0.144 0.32 0.262 0.252 0.264
"264" 0.918 0.966 0.972 0.914 0.966
"265" 0.384 0.356 0.182 0.252 0.282
"266" 0.142 0.098 0.118 0.094 0.118
"267" 0.14 0.138 0.096 0.122 0.16
"268" 0.532 0.274 0.216 0.356 0.404
"269" 0.14 0.168 0.176 0.088 0.182
"270" 0.118 0.08 0.18 0.176 0.146
"271" 0.36 0.326 0.388 0.356 0.368
"272" 0.084 0.102 0.066 0.038 0.052
"273" 0.372 0.412 0.216 0.44 0.424
"274" 0.16 0.156 0.106 0.2 0.12
"275" 0.122 0.108 0.088 0.108 0.132
"276" 0.536 0.554 0.466 0.476 0.456
"277" 0.228 0.21 0.226 0.258 0.286
"278" 0.348 0.286 0.258 0.476 0.452
"279" 0.18 0.132 0.194 0.358 0.214
"280" 0.18 0.132 0.194 0.358 0.214
"281" 0.176 0.2 0.198 0.284 0.098
"282" 0.152 0.146 0.072 0.15 0.082
"283" 0.076 0.1 0.072 0.054 0.098
"284" 0.164 0.162 0.182 0.164 0.15
"285" 0.21 0.192 0.212 0.222 0.206
"286" 0.066 0.08 0.112 0.058 0.12
"287" 0.188 0.194 0.18 0.214 0.206
"288" 0.432 0.406 0.464 0.37 0.53
"289" 0.62 0.62 0.67 0.59 0.71
"290" 0.424 0.33 0.33 0.348 0.606
"291" 0.54 0.452 0.478 0.578 0.614
"292" 0.286 0.274 0.228 0.292 0.286
"293" 0.11 0.162 0.102 0.104 0.132
"294" 0.264 0.14 0.222 0.144 0.328
"295" 0.212 0.124 0.256 0.104 0.294
"296" 0.194 0.15 0.212 0.25 0.186
"297" 0.292 0.136 0.272 0.332 0.226
"298" 0.104 0.082 0.088 0.082 0.084
"299" 0.346 0.3 0.232 0.238 0.134
"300" 0.122 0.08 0.074 0.062 0.094
"301" 0.242 0.196 0.186 0.154 0.092
"302" 0.304 0.262 0.462 0.304 0.242
"303" 0.286 0.308 0.174 0.298 0.222
"304" 0.234 0.214 0.366 0.274 0.254
"305" 0.126 0.174 0.168 0.114 0.106
"306" 0.126 0.174 0.168 0.114 0.106
"307" 0.09 0.114 0.12 0.096 0.138
"308" 0.1 0.104 0.064 0.116 0.132
"309" 0.084 0.094 0.08 0.102 0.136
"310" 0.312 0.262 0.286 0.306 0.228
"311" 0.108 0.178 0.162 0.138 0.178
"312" 0.36 0.422 0.27 0.394 0.394
"313" 0.226 0.228 0.192 0.236 0.242
"314" 0.174 0.22 0.212 0.162 0.15
"315" 0.314 0.376 0.264 0.36 0.34
"316" 0.086 0.154 0.098 0.162 0.124
"317" 0.598 0.71 0.52 0.7 0.802
"318" 0.12 0.124 0.042 0.244 0.15
"319" 0.264 0.25 0.216 0.288 0.22
"320" 0.096 0.188 0.2 0.2 0.17
"321" 0.962 0.95 0.952 0.942 0.96
"322" 0.166 0.19 0.168 0.176 0.172
"323" 0.77 0.776 0.812 0.792 0.702
"324" 0.962 0.95 0.952 0.942 0.96
"325" 0.458 0.516 0.562 0.426 0.498
"326" 0.622 0.648 0.774 0.694 0.57
"327" 0.278 0.266 0.262 0.332 0.26
"328" 0.366 0.346 0.176 0.322 0.202
"329" 0.304 0.392 0.362 0.352 0.396
"330" 0.512 0.45 0.412 0.404 0.432
"331" 0.086 0.15 0.094 0.134 0.15
"332" 0.182 0.178 0.16 0.1 0.168
"333" 0.132 0.19 0.252 0.216 0.148
"334" 0.05 0.1 0.054 0.094 0.08
"335" 0.324 0.36 0.274 0.382 0.35
"336" 0.22 0.234 0.11 0.206 0.146
"337" 0.254 0.232 0.236 0.228 0.252
"338" 0.25 0.268 0.176 0.228 0.23
"339" 0.136 0.128 0.112 0.084 0.128
"340" 0.76 0.534 0.842 0.836 0.876
"341" 0.2 0.21 0.312 0.214 0.318
"342" 0.34 0.314 0.356 0.34 0.276
"343" 0.678 0.632 0.764 0.614 0.702
"344" 0.074 0.144 0.116 0.13 0.138
"345" 0.518 0.456 0.428 0.45 0.45
"346" 0.43 0.382 0.444 0.596 0.724
"347" 0.274 0.406 0.37 0.414 0.546
"348" 0.47 0.554 0.514 0.47 0.612
"349" 0.518 0.456 0.428 0.45 0.45
"350" 0.726 0.636 0.592 0.558 0.468
"351" 0.336 0.326 0.274 0.124 0.422
"352" 0.09 0.108 0.118 0.084 0.172
"353" 0.726 0.636 0.592 0.558 0.468
"354" 0.264 0.258 0.35 0.294 0.328
"355" 0.146 0.05 0.188 0.096 0.182
"356" 0.118 0.108 0.074 0.134 0.174
"357" 0.134 0.152 0.092 0.184 0.164
"358" 0.162 0.202 0.268 0.172 0.296
"359" 0.168 0.172 0.18 0.19 0.31
"360" 0.7 0.588 0.506 0.58 0.68
"361" 0.964 0.97 0.988 0.982 0.956
"362" 0.374 0.332 0.278 0.402 0.164
"363" 0.134 0.126 0.154 0.15 0.17
"364" 0.166 0.212 0.204 0.254 0.174
"365" 0.166 0.212 0.204 0.254 0.174
"366" 0.544 0.446 0.398 0.45 0.372
"367" 0.53 0.326 0.294 0.526 0.324
"368" 0.516 0.464 0.374 0.386 0.392
"369" 0.21 0.248 0.22 0.244 0.222
"370" 0.356 0.432 0.402 0.292 0.394
"371" 0.298 0.368 0.292 0.36 0.348
"372" 0.41 0.472 0.448 0.422 0.406
"373" 0.354 0.432 0.374 0.432 0.408
"374" 0.1 0.208 0.25 0.252 0.12
"375" 0.058 0.084 0.068 0.106 0.05
"376" 0.024 0.022 0.016 0.028 0.058
"377" 0.218 0.112 0.274 0.24 0.238
"378" 0.84 0.864 0.776 0.914 0.768
"379" 0.108 0.032 0.048 0.186 0.152
"380" 0.356 0.408 0.436 0.356 0.444
"381" 0.84 0.864 0.776 0.914 0.768
"382" 0.38 0.314 0.408 0.382 0.306
"383" 0.222 0.252 0.378 0.352 0.382
"384" 0.172 0.134 0.22 0.252 0.086
"385" 0.03 0.052 0.032 0.064 0.056
"386" 0.82 0.836 0.9 0.936 0.922
"387" 0.14 0.13 0.108 0.218 0.186
"388" 0.32 0.252 0.378 0.28 0.308
"389" 0.062 0.04 0.074 0.056 0.128
"390" 0.46 0.674 0.5 0.44 0.488
"391" 0.328 0.224 0.19 0.268 0.376
"392" 0.062 0.04 0.074 0.056 0.128
"393" 0.43 0.298 0.62 0.536 0.526
"394" 0.672 0.696 0.686 0.772 0.672
"395" 0.238 0.188 0.384 0.228 0.238
"396" 0.472 0.492 0.624 0.506 0.572
"397" 0.374 0.21 0.316 0.396 0.308
"398" 0.782 0.852 0.87 0.72 0.85
"399" 0.782 0.852 0.87 0.72 0.85
