"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"72" 0.162 0.212 0.18 0.218 0.142 0.138 0.194 0.156 0.19 0.2
"73" 0.118 0.432 0.072 0.402 0.388 0.384 0.408 0.382 0.174 0.092
"74" 0.928 0.934 0.93 0.898 0.928 0.908 0.868 0.952 0.97 0.906
"75" 0.928 0.934 0.93 0.898 0.928 0.908 0.868 0.952 0.97 0.906
"76" 0.152 0.216 0.288 0.2 0.248 0.208 0.238 0.222 0.186 0.244
"77" 0.258 0.476 0.656 0.578 0.512 0.58 0.292 0.502 0.674 0.572
"78" 0.206 0.156 0.146 0.124 0.124 0.208 0.158 0.14 0.104 0.146
"79" 0.394 0.474 0.476 0.41 0.448 0.626 0.466 0.42 0.404 0.388
"80" 0.412 0.632 0.34 0.482 0.468 0.362 0.52 0.572 0.628 0.286
"81" 0.996 0.99 0.976 0.994 0.984 0.996 0.996 0.994 0.996 0.998
"82" 0.25 0.378 0.268 0.324 0.198 0.41 0.266 0.3 0.228 0.256
"83" 0.382 0.418 0.394 0.442 0.358 0.35 0.408 0.188 0.344 0.338
"84" 0.084 0.178 0.154 0.106 0.146 0.1 0.128 0.098 0.146 0.082
"85" 0.198 0.284 0.132 0.214 0.18 0.168 0.162 0.236 0.102 0.202
"86" 0.584 0.674 0.572 0.582 0.652 0.702 0.53 0.594 0.596 0.686
"87" 0.158 0.166 0.234 0.154 0.18 0.194 0.192 0.082 0.154 0.17
"88" 0.262 0.288 0.338 0.032 0.294 0.286 0.248 0.038 0.274 0.256
"89" 0.29 0.31 0.34 0.352 0.29 0.284 0.324 0.284 0.296 0.384
"90" 0.272 0.316 0.374 0.332 0.246 0.28 0.306 0.238 0.276 0.348
"91" 0.106 0.076 0.134 0.136 0.046 0.052 0.068 0.044 0.052 0.03
"92" 0.102 0.142 0.108 0.082 0.102 0.132 0.092 0.106 0.11 0.072
"93" 0.17 0.086 0.086 0.182 0.12 0.162 0.138 0.192 0.136 0.186
"94" 0.536 0.348 0.5 0.35 0.428 0.492 0.408 0.548 0.388 0.482
"95" 0.232 0.17 0.262 0.168 0.208 0.166 0.206 0.204 0.11 0.184
"96" 0.32 0.252 0.226 0.382 0.286 0.288 0.31 0.292 0.352 0.286
"97" 0.32 0.252 0.226 0.382 0.286 0.288 0.31 0.292 0.352 0.286
"98" 0.32 0.252 0.226 0.382 0.286 0.288 0.31 0.292 0.352 0.286
"99" 0.334 0.304 0.326 0.346 0.268 0.312 0.374 0.332 0.378 0.262
"100" 0.232 0.448 0.384 0.524 0.258 0.432 0.526 0.546 0.532 0.55
"101" 0.944 0.976 0.962 0.928 0.946 0.964 0.948 0.942 0.948 0.902
"102" 0.668 0.758 0.66 0.506 0.69 0.676 0.718 0.712 0.536 0.602
"103" 0.124 0.094 0.128 0.074 0.054 0.082 0.116 0.13 0.088 0.114
"104" 0.48 0.554 0.562 0.492 0.198 0.51 0.558 0.524 0.558 0.454
"105" 0.48 0.244 0.37 0.382 0.394 0.332 0.368 0.504 0.364 0.338
"106" 0.668 0.516 0.622 0.606 0.57 0.632 0.596 0.542 0.61 0.54
"107" 0.678 0.862 0.716 0.672 0.692 0.84 0.68 0.666 0.728 0.526
"108" 0.908 0.89 0.916 0.896 0.914 0.898 0.868 0.87 0.876 0.916
"109" 0.48 0.45 0.574 0.242 0.436 0.564 0.614 0.486 0.278 0.516
"110" 0.038 0.038 0.064 0.052 0.048 0.054 0.056 0.07 0.016 0.056
"111" 0.214 0.294 0.29 0.242 0.184 0.24 0.242 0.2 0.258 0.22
"112" 0.108 0.058 0.092 0.108 0.068 0.088 0.16 0.082 0.078 0.072
"113" 0.222 0.216 0.262 0.228 0.262 0.166 0.224 0.194 0.254 0.22
"114" 0.12 0.098 0.126 0.114 0.116 0.152 0.124 0.128 0.062 0.124
"115" 0.294 0.244 0.316 0.244 0.252 0.266 0.204 0.262 0.314 0.278
"116" 0.154 0.138 0.142 0.146 0.206 0.146 0.144 0.182 0.234 0.162
"117" 0.088 0.13 0.088 0.106 0.142 0.108 0.156 0.148 0.106 0.082
"118" 0.146 0.154 0.12 0.142 0.228 0.152 0.188 0.15 0.216 0.148
"119" 0.218 0.198 0.288 0.14 0.154 0.116 0.252 0.224 0.244 0.296
"120" 0.218 0.198 0.288 0.14 0.154 0.116 0.252 0.224 0.244 0.296
"121" 0.428 0.256 0.348 0.32 0.348 0.256 0.34 0.352 0.332 0.256
"122" 0.226 0.242 0.114 0.344 0.224 0.178 0.232 0.262 0.202 0.28
"123" 0.188 0.18 0.152 0.21 0.166 0.154 0.162 0.174 0.15 0.126
"124" 0.164 0.098 0.134 0.154 0.108 0.096 0.148 0.188 0.114 0.15
"125" 0.2 0.22 0.19 0.19 0.2 0.148 0.242 0.242 0.132 0.218
"126" 0.216 0.156 0.134 0.154 0.128 0.098 0.152 0.158 0.116 0.102
"127" 0.15 0.21 0.208 0.156 0.134 0.108 0.218 0.236 0.116 0.208
"128" 0.228 0.274 0.218 0.264 0.354 0.22 0.332 0.158 0.254 0.278
"129" 0.028 0.014 0.03 0.024 0.022 0.04 0.036 0.012 0.032 0.028
"130" 0.178 0.1 0.104 0.16 0.17 0.076 0.172 0.144 0.17 0.086
"131" 0.374 0.292 0.418 0.26 0.384 0.388 0.446 0.45 0.444 0.446
"132" 0.03 0.02 0.036 0.026 0.026 0.034 0.024 0.036 0.04 0.036
"133" 0.836 0.806 0.864 0.786 0.87 0.848 0.846 0.842 0.838 0.87
"134" 0.538 0.246 0.348 0.478 0.428 0.2 0.14 0.234 0.184 0.232
"135" 0.538 0.246 0.348 0.478 0.428 0.2 0.14 0.234 0.184 0.232
"136" 0.836 0.806 0.864 0.786 0.87 0.848 0.846 0.842 0.838 0.87
"137" 0.074 0.244 0.108 0.228 0.288 0.256 0.212 0.226 0.1 0.248
"138" 0.272 0.198 0.206 0.27 0.166 0.126 0.344 0.212 0.192 0.124
"139" 0.298 0.262 0.332 0.276 0.32 0.23 0.146 0.27 0.238 0.112
"140" 0.158 0.176 0.182 0.188 0.16 0.198 0.168 0.138 0.222 0.184
"141" 0.094 0.048 0.05 0.06 0.066 0.058 0.05 0.04 0.142 0.026
"142" 0.24 0.274 0.2 0.244 0.238 0.312 0.414 0.236 0.244 0.284
"143" 0.262 0.224 0.324 0.158 0.248 0.16 0.242 0.202 0.218 0.27
"144" 0.256 0.252 0.228 0.24 0.326 0.258 0.242 0.27 0.194 0.252
"145" 0.236 0.242 0.228 0.196 0.272 0.236 0.21 0.194 0.17 0.258
"146" 0.176 0.126 0.176 0.128 0.218 0.108 0.158 0.118 0.108 0.2
"147" 0.116 0.098 0.09 0.096 0.068 0.086 0.108 0.102 0.074 0.104
