"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"75" 0.21 0.132 0.124 0.198 0.14 0.096 0.16 0.236 0.286 0.15
"76" 0.576 0.5 0.256 0.494 0.522 0.56 0.58 0.442 0.534 0.498
"77" 0.576 0.5 0.256 0.494 0.522 0.56 0.58 0.442 0.534 0.498
"78" 0.576 0.5 0.256 0.494 0.522 0.56 0.58 0.442 0.534 0.498
"79" 0.06 0.014 0.026 0.03 0.034 0.024 0.046 0.012 0.02 0.058
"80" 0.06 0.014 0.026 0.03 0.034 0.024 0.046 0.012 0.02 0.058
"81" 0.06 0.014 0.026 0.03 0.034 0.024 0.046 0.012 0.02 0.058
"82" 0.06 0.014 0.026 0.03 0.034 0.024 0.046 0.012 0.02 0.058
"83" 0.06 0.014 0.026 0.03 0.034 0.024 0.046 0.012 0.02 0.058
"84" 0.08 0.014 0.158 0.082 0.126 0.088 0.074 0.044 0.046 0.092
"85" 0.08 0.014 0.158 0.082 0.126 0.088 0.074 0.044 0.046 0.092
"86" 0.014 0 0.056 0.004 0.014 0.01 0.01 0.008 0.02 0.022
"87" 0.012 0.038 0.036 0.018 0.014 0.016 0.05 0.01 0.028 0.022
"88" 0.012 0.038 0.036 0.018 0.014 0.016 0.05 0.01 0.028 0.022
"89" 0.176 0.102 0.132 0.254 0.088 0.126 0.144 0.136 0.226 0.114
"90" 0.176 0.102 0.132 0.254 0.088 0.126 0.144 0.136 0.226 0.114
"91" 0.176 0.102 0.132 0.254 0.088 0.126 0.144 0.136 0.226 0.114
"92" 0.176 0.102 0.132 0.254 0.088 0.126 0.144 0.136 0.226 0.114
"93" 0.176 0.102 0.132 0.254 0.088 0.126 0.144 0.136 0.226 0.114
"94" 0.1 0.04 0.058 0.05 0.162 0.082 0.068 0.048 0.088 0.012
"95" 0.1 0.04 0.058 0.05 0.162 0.082 0.068 0.048 0.088 0.012
"96" 0.182 0.166 0.166 0.136 0.176 0.216 0.138 0.126 0.174 0.188
"97" 0.182 0.166 0.166 0.136 0.176 0.216 0.138 0.126 0.174 0.188
"98" 0.182 0.166 0.166 0.136 0.176 0.216 0.138 0.126 0.174 0.188
"99" 0.182 0.166 0.166 0.136 0.176 0.216 0.138 0.126 0.174 0.188
"100" 0.182 0.166 0.166 0.136 0.176 0.216 0.138 0.126 0.174 0.188
"101" 0.064 0.038 0.042 0.094 0.014 0.042 0.032 0.24 0.048 0.044
"102" 0.064 0.038 0.042 0.094 0.014 0.042 0.032 0.24 0.048 0.044
"103" 0.032 0.006 0.006 0 0 0.008 0.018 0.002 0.006 0.008
"104" 0.032 0.006 0.006 0 0 0.008 0.018 0.002 0.006 0.008
"105" 0.032 0.006 0.006 0 0 0.008 0.018 0.002 0.006 0.008
"106" 0.002 0.01 0.014 0.002 0.008 0.052 0.004 0.01 0 0.004
"107" 0.002 0.01 0.014 0.002 0.008 0.052 0.004 0.01 0 0.004
"108" 0.106 0.084 0.056 0.084 0.066 0.144 0.176 0.072 0.118 0.162
"109" 0.004 0 0.002 0 0.02 0.052 0.008 0.016 0 0.004
"110" 0.004 0 0.002 0 0.02 0.052 0.008 0.016 0 0.004
"111" 0.002 0.004 0.006 0.006 0.006 0.01 0 0.002 0.002 0.002
"112" 0.002 0.004 0.006 0.006 0.006 0.01 0 0.002 0.002 0.002
"113" 0.038 0.026 0.08 0.128 0.164 0.054 0.148 0.202 0.05 0.122
"114" 0.038 0.026 0.08 0.128 0.164 0.054 0.148 0.202 0.05 0.122
"115" 0.212 0.186 0.196 0.174 0.232 0.196 0.236 0.18 0.324 0.158
"116" 0.192 0.194 0.176 0.158 0.156 0.188 0.15 0.132 0.062 0.036
"117" 0.046 0.088 0.092 0.02 0.024 0.03 0.052 0.02 0.026 0.012
"118" 0.082 0.154 0.132 0.066 0.11 0.066 0.132 0.078 0.108 0.076
"119" 0.032 0.044 0.026 0.018 0.006 0.006 0.006 0.044 0.034 0.056
"120" 0.032 0.044 0.026 0.018 0.006 0.006 0.006 0.044 0.034 0.056
"121" 0.032 0.044 0.026 0.018 0.006 0.006 0.006 0.044 0.034 0.056
"122" 0.032 0.044 0.026 0.018 0.006 0.006 0.006 0.044 0.034 0.056
"123" 0.032 0.044 0.026 0.018 0.006 0.006 0.006 0.044 0.034 0.056
"124" 0.36 0.358 0.328 0.352 0.084 0.258 0.174 0.286 0.294 0.326
"125" 0 0.004 0 0 0 0 0 0 0.004 0
"126" 0 0.004 0 0 0 0 0 0 0.004 0
"127" 0 0.004 0 0 0 0 0 0 0.004 0
"128" 0.012 0.028 0.014 0.022 0.068 0.02 0.02 0.01 0.042 0.008
"129" 0.012 0.028 0.014 0.022 0.068 0.02 0.02 0.01 0.042 0.008
"130" 0.012 0.028 0.014 0.022 0.068 0.02 0.02 0.01 0.042 0.008
"131" 0.048 0.038 0.044 0.044 0.08 0.064 0.026 0.202 0.106 0.018
"132" 0.048 0.038 0.044 0.044 0.08 0.064 0.026 0.202 0.106 0.018
"133" 0.1 0.036 0.014 0.022 0.02 0.03 0.074 0.062 0.024 0.122
"134" 0.1 0.036 0.014 0.022 0.02 0.03 0.074 0.062 0.024 0.122
"135" 0.1 0.036 0.014 0.022 0.02 0.03 0.074 0.062 0.024 0.122
"136" 0.1 0.036 0.014 0.022 0.02 0.03 0.074 0.062 0.024 0.122
"137" 0.1 0.036 0.014 0.022 0.02 0.03 0.074 0.062 0.024 0.122
"138" 0.116 0.156 0.104 0.172 0.306 0.078 0.146 0.414 0.164 0.074
"139" 0.052 0.102 0.104 0.094 0.068 0.106 0.034 0.064 0.028 0.066
"140" 0.052 0.102 0.104 0.094 0.068 0.106 0.034 0.064 0.028 0.066
"141" 0.052 0.102 0.104 0.094 0.068 0.106 0.034 0.064 0.028 0.066
"142" 0.052 0.102 0.104 0.094 0.068 0.106 0.034 0.064 0.028 0.066
"143" 0 0 0 0 0 0 0 0.002 0 0
"144" 0 0 0 0 0 0 0 0.002 0 0
"145" 0.108 0.08 0.18 0.082 0.052 0.126 0.096 0.082 0.09 0.116
"146" 0.174 0.18 0.184 0.156 0.218 0.268 0.178 0.168 0.19 0.134
"147" 0.174 0.18 0.184 0.156 0.218 0.268 0.178 0.168 0.19 0.134
"148" 0.038 0.038 0.08 0.044 0.064 0.104 0.026 0.034 0.05 0.034
"149" 0.006 0.002 0.008 0.006 0.014 0.006 0.002 0.004 0.01 0.002
"150" 0.182 0.174 0.122 0.152 0.152 0.176 0.118 0.144 0.184 0.298
"151" 0.182 0.174 0.122 0.152 0.152 0.176 0.118 0.144 0.184 0.298
"152" 0.182 0.174 0.122 0.152 0.152 0.176 0.118 0.144 0.184 0.298
"153" 0.058 0.05 0.256 0.108 0.07 0.062 0.054 0.016 0.098 0.082
"154" 0.25 0.328 0.422 0.306 0.298 0.272 0.194 0.194 0.302 0.312
"155" 0.186 0.378 0.496 0.354 0.384 0.19 0.368 0.318 0.34 0.354
"156" 0.186 0.378 0.496 0.354 0.384 0.19 0.368 0.318 0.34 0.354
"157" 0.186 0.378 0.496 0.354 0.384 0.19 0.368 0.318 0.34 0.354
"158" 0.37 0.456 0.414 0.434 0.322 0.472 0.31 0.432 0.426 0.27
"159" 0.37 0.456 0.414 0.434 0.322 0.472 0.31 0.432 0.426 0.27
"160" 0.37 0.456 0.414 0.434 0.322 0.472 0.31 0.432 0.426 0.27
"161" 0.37 0.456 0.414 0.434 0.322 0.472 0.31 0.432 0.426 0.27
"162" 0.07 0.28 0.112 0.156 0.192 0.112 0.154 0.114 0.08 0.192
"163" 0.196 0.126 0.092 0.188 0.282 0.064 0.174 0.19 0.124 0.126
"164" 0.196 0.126 0.092 0.188 0.282 0.064 0.174 0.19 0.124 0.126
"165" 0.196 0.126 0.092 0.188 0.282 0.064 0.174 0.19 0.124 0.126
"166" 0.022 0.024 0.034 0.046 0.062 0.032 0.044 0.04 0.048 0.05
"167" 0.094 0.16 0.104 0.122 0.066 0.044 0.108 0.046 0.084 0.068
"168" 0.042 0.064 0.062 0.042 0.092 0.018 0.054 0.038 0.076 0.07
"169" 0.042 0.064 0.062 0.042 0.092 0.018 0.054 0.038 0.076 0.07
"170" 0.042 0.064 0.062 0.042 0.092 0.018 0.054 0.038 0.076 0.07
"171" 0.064 0.06 0.058 0.072 0.148 0.056 0.046 0.018 0.078 0.062
"172" 0.064 0.06 0.058 0.072 0.148 0.056 0.046 0.018 0.078 0.062
"173" 0.06 0.036 0.04 0.202 0.02 0.022 0.026 0.058 0.016 0.032
"174" 0 0 0 0 0 0 0 0 0 0
"175" 0 0 0 0 0 0 0 0 0 0
"176" 0.102 0.466 0.194 0.5 0.49 0.102 0.178 0.488 0.396 0.468
"177" 0.058 0.068 0.046 0.106 0.076 0.046 0.042 0.058 0.064 0.07
"178" 0.132 0.172 0.158 0.2 0.12 0.124 0.078 0.178 0.134 0.17
"179" 0.132 0.172 0.158 0.2 0.12 0.124 0.078 0.178 0.134 0.17
"180" 0.014 0.04 0.066 0.016 0.016 0.01 0.01 0.008 0.03 0.01
"181" 0.264 0.128 0.214 0.128 0.16 0.154 0.072 0.206 0.114 0.188
"182" 0.264 0.128 0.214 0.128 0.16 0.154 0.072 0.206 0.114 0.188
"183" 0.264 0.128 0.214 0.128 0.16 0.154 0.072 0.206 0.114 0.188
"184" 0.264 0.128 0.214 0.128 0.16 0.154 0.072 0.206 0.114 0.188
"185" 0.07 0.09 0.066 0.126 0.096 0.054 0.086 0.108 0.074 0.094
"186" 0.24 0.256 0.198 0.056 0.208 0.188 0.242 0.044 0.174 0.188
"187" 0.24 0.256 0.198 0.056 0.208 0.188 0.242 0.044 0.174 0.188
"188" 0.24 0.256 0.198 0.056 0.208 0.188 0.242 0.044 0.174 0.188
"189" 0.24 0.256 0.198 0.056 0.208 0.188 0.242 0.044 0.174 0.188
"190" 0.164 0.152 0.164 0.212 0.16 0.166 0.104 0.18 0.144 0.216
"191" 0.164 0.152 0.164 0.212 0.16 0.166 0.104 0.18 0.144 0.216
"192" 0.164 0.152 0.164 0.212 0.16 0.166 0.104 0.18 0.144 0.216
"193" 0.174 0.216 0.236 0.234 0.23 0.174 0.186 0.24 0.13 0.246
"194" 0.044 0.056 0.102 0.018 0.102 0.152 0.028 0.01 0.036 0.06
"195" 0.044 0.056 0.102 0.018 0.102 0.152 0.028 0.01 0.036 0.06
"196" 0.044 0.056 0.102 0.018 0.102 0.152 0.028 0.01 0.036 0.06
"197" 0.126 0.436 0.43 0.388 0.354 0.392 0.328 0.326 0.374 0.33
"198" 0.126 0.436 0.43 0.388 0.354 0.392 0.328 0.326 0.374 0.33
"199" 0 0 0 0 0 0 0 0.002 0 0
"200" 0 0 0 0 0 0 0 0 0 0
"201" 0 0 0 0 0 0 0 0 0 0
"202" 0 0 0 0 0.002 0 0 0.002 0 0
"203" 0 0 0 0 0.002 0 0 0.002 0 0
"204" 0 0 0 0.006 0 0.004 0.002 0.004 0.002 0.002
"205" 0 0 0 0.006 0 0.004 0.002 0.004 0.002 0.002
"206" 0.002 0.008 0 0.004 0 0.004 0.002 0.002 0.004 0.002
"207" 0.062 0 0.078 0.006 0.006 0.006 0.01 0.004 0.006 0
"208" 0.02 0.01 0.008 0 0.006 0.004 0.004 0.006 0.006 0.006
"209" 0.02 0.01 0.008 0 0.006 0.004 0.004 0.006 0.006 0.006
"210" 0.02 0.01 0.008 0 0.006 0.004 0.004 0.006 0.006 0.006
"211" 0.02 0.01 0.008 0 0.006 0.004 0.004 0.006 0.006 0.006
"212" 0.02 0.01 0.008 0 0.006 0.004 0.004 0.006 0.006 0.006
"213" 0 0 0 0 0 0 0 0 0 0
"214" 0 0 0 0 0 0 0 0 0 0
"215" 0 0 0 0 0 0 0 0 0 0
"216" 0 0 0 0 0 0 0 0 0 0
"217" 0 0 0 0 0 0 0 0 0 0
"218" 0.038 0.064 0.016 0.07 0.05 0.082 0.01 0.084 0.04 0.142
"219" 0.026 0.014 0.006 0.06 0.036 0.016 0.008 0.01 0.026 0.022
"220" 0.026 0.014 0.006 0.06 0.036 0.016 0.008 0.01 0.026 0.022
"221" 0 0.004 0.006 0.004 0.004 0 0 0.004 0 0
"222" 0.1 0.138 0.14 0.054 0.102 0.138 0.07 0.086 0.076 0.106
"223" 0.06 0.118 0.136 0.088 0.108 0.096 0.068 0.08 0.086 0.084
"224" 0.108 0.176 0.084 0.098 0.154 0.118 0.072 0.066 0.07 0.12
"225" 0.068 0.052 0.084 0.04 0.038 0.048 0.102 0.124 0.04 0.038
"226" 0.126 0.134 0.07 0.118 0.05 0.058 0.13 0.05 0.08 0.096
"227" 0.126 0.134 0.07 0.118 0.05 0.058 0.13 0.05 0.08 0.096
"228" 0.126 0.134 0.07 0.118 0.05 0.058 0.13 0.05 0.08 0.096
"229" 0 0.008 0.004 0.016 0 0.004 0.002 0.012 0.002 0.004
"230" 0 0 0 0 0 0 0 0 0 0
"231" 0.196 0.146 0.29 0.144 0.154 0.276 0.158 0.182 0.168 0.07
"232" 0.01 0.022 0.054 0.038 0.034 0.004 0.042 0.036 0.036 0.03
"233" 0.048 0.102 0.104 0.094 0.058 0.062 0.068 0.064 0.1 0.066
"234" 0.048 0.102 0.104 0.094 0.058 0.062 0.068 0.064 0.1 0.066
"235" 0.048 0.102 0.104 0.094 0.058 0.062 0.068 0.064 0.1 0.066
"236" 0.048 0.102 0.104 0.094 0.058 0.062 0.068 0.064 0.1 0.066
"237" 0.048 0.102 0.104 0.094 0.058 0.062 0.068 0.064 0.1 0.066
"238" 0 0 0 0 0 0 0 0 0 0
"239" 0 0 0 0 0 0 0 0 0 0
"240" 0 0 0 0 0 0 0 0 0 0
"241" 0 0 0 0 0.002 0 0 0 0 0
"242" 0.51 0.462 0.53 0.504 0.52 0.432 0.53 0.542 0.526 0.504
"243" 0.51 0.462 0.53 0.504 0.52 0.432 0.53 0.542 0.526 0.504
"244" 0.026 0.03 0.024 0.02 0.028 0.088 0.02 0.026 0.026 0.036
"245" 0.026 0.03 0.024 0.02 0.028 0.088 0.02 0.026 0.026 0.036
"246" 0.022 0.054 0.176 0.024 0.018 0.01 0.05 0.006 0.008 0.024
"247" 0 0 0 0 0 0 0 0 0 0
"248" 0.022 0.054 0.176 0.024 0.018 0.01 0.05 0.006 0.008 0.024
"249" 0.022 0.054 0.176 0.024 0.018 0.01 0.05 0.006 0.008 0.024
"250" 0.022 0.054 0.176 0.024 0.018 0.01 0.05 0.006 0.008 0.024
"251" 0.052 0.158 0.118 0.14 0.052 0.07 0.098 0.076 0.074 0.054
"252" 0.036 0.036 0.066 0.06 0.022 0.044 0.05 0.024 0.014 0.028
"253" 0.042 0.054 0.062 0.064 0.11 0.05 0.026 0.08 0.022 0.112
"254" 0.042 0.054 0.062 0.064 0.11 0.05 0.026 0.08 0.022 0.112
"255" 0.048 0.068 0.052 0.078 0.058 0.046 0.068 0.046 0.028 0.064
"256" 0.192 0.154 0.056 0.136 0.052 0.228 0.176 0.076 0.212 0.064
"257" 0.014 0.028 0.002 0.004 0.006 0.006 0.008 0.002 0.016 0.008
"258" 0.004 0.01 0.006 0 0.002 0 0 0.006 0 0
"259" 0.004 0.01 0.006 0 0.002 0 0 0.006 0 0
"260" 0.004 0.01 0.006 0 0.002 0 0 0.006 0 0
"261" 0.062 0.026 0.078 0.006 0.006 0.024 0.01 0.002 0.01 0.026
