"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.301170474042268 0.305233584185421 0.304174513848408 0.301806937656891 0.296876507384663 0.30091544635512 0.302195620151523 0.294694231242409 0.310492082606675 0.300811890062542
"2" 0.30087595507433 0.304021229510468 0.304214321278798 0.301703145852951 0.291149861082608 0.300936098034736 0.302028252480311 0.29259481389195 0.306533609397552 0.296296759657051
"3" 0.336705025016557 0.302974397965996 0.303814064675426 0.313888455604982 0.342798714986993 0.321789313000291 0.308762447108819 0.332659218275737 0.30810184605334 0.354391826340148
"4" 0.336705025016557 0.302974397965996 0.303814064675426 0.313888455604982 0.342798714986993 0.321789313000291 0.308762447108819 0.332659218275737 0.30810184605334 0.354391826340148
"5" 0.336705025016557 0.302974397965996 0.303814064675426 0.313888455604982 0.342798714986993 0.321789313000291 0.308762447108819 0.332659218275737 0.30810184605334 0.354391826340148
"6" 0.295302724305932 0.315064138835988 0.304214127992975 0.306008153662838 0.309812619139589 0.292100643345564 0.302153344643233 0.307319056558675 0.29943882692202 0.301467372138114
"7" 0.295302724305932 0.315064138835988 0.304214127992975 0.306008153662838 0.309812619139589 0.292100643345564 0.302153344643233 0.307319056558675 0.29943882692202 0.301467372138114
"8" 0.295302724305932 0.315064138835988 0.304214127992975 0.306008153662838 0.309812619139589 0.292100643345564 0.302153344643233 0.307319056558675 0.29943882692202 0.301467372138114
"9" 0.295302724305932 0.315064138835988 0.304214127992975 0.306008153662838 0.309812619139589 0.292100643345564 0.302153344643233 0.307319056558675 0.29943882692202 0.301467372138114
"10" 0.295302724305932 0.315064138835988 0.304214127992975 0.306008153662838 0.309812619139589 0.292100643345564 0.302153344643233 0.307319056558675 0.29943882692202 0.301467372138114
"11" 0.220731183435765 0.280990943768305 0.18154094530024 0.223032257638275 0.21256534674471 0.239526024622871 0.247300840297968 0.204682524318056 0.241886188401558 0.329081628399677
"12" 0.220731183435765 0.280990943768305 0.18154094530024 0.223032257638275 0.21256534674471 0.239526024622871 0.247300840297968 0.204682524318056 0.241886188401558 0.329081628399677
